experiment_id,transcript_id,video_id,model_name,technique_name,rag_enabled,gt_name_original,gt_name_en,gt_unit_original,gt_unit_en,pred_name_original,pred_name_en,pred_unit_original,pred_unit_en
3,3,3,Llama 3.2 3B Instruct,zero-shot,false,Serai,Lemongrass,batang,,Serai,Serai,,
3,3,3,Llama 3.2 3B Instruct,zero-shot,false,Cili Padi,Bird's Eye Chilli,biji,,Cili Padi,Cili Padi,,
3,3,3,Llama 3.2 3B Instruct,zero-shot,false,,,,,Lada,Lada,,
3,3,3,Llama 3.2 3B Instruct,zero-shot,false,Bawang Merah,Red Onion,biji,,Bawang Merah,Bawang Merah,,
3,3,3,Llama 3.2 3B Instruct,zero-shot,false,Bawang Putih,Garlic,ulas,,Bawang Putih,Bawang Putih,,
3,3,3,Llama 3.2 3B Instruct,zero-shot,false,,,,,Ketumbar,Ketumbar,,
3,3,3,Llama 3.2 3B Instruct,zero-shot,false,Sos Tiram,Oyster Sauce,,,Sos Tiram,Sos Tiram,,
3,3,3,Llama 3.2 3B Instruct,zero-shot,false,Sos Ikan,Fish Sauce,,,Sos Ikan,Sos Ikan,,
6,6,6,Llama 3.2 3B Instruct,zero-shot,false,,,,,tempe,,,
6,6,6,Llama 3.2 3B Instruct,zero-shot,false,Cili Padi,Bird's Eye Chilli,biji,,cili padi,,ulas,pieces
6,6,6,Llama 3.2 3B Instruct,zero-shot,false,,,,,lada merah,,,
6,6,6,Llama 3.2 3B Instruct,zero-shot,false,Tomato,Tomato,biji,,tomato,,ketul,cup
6,6,6,Llama 3.2 3B Instruct,zero-shot,false,Bawang Putih,Garlic,ulas,,bawang putih,,ulas,pieces
6,6,6,Llama 3.2 3B Instruct,zero-shot,false,Limau Kasturi,Calamansi Lime,biji,,limau kasturi,,ulas,pieces
6,6,6,Llama 3.2 3B Instruct,zero-shot,false,,,,,kapur,,,
7,7,7,Llama 3.2 3B Instruct,zero-shot,false,,,,,Gula-gula kapas,Gula-gula kapas,,
7,7,7,Llama 3.2 3B Instruct,zero-shot,false,,,,,Kepingan coklat,Chocolate pieces,,
7,7,7,Llama 3.2 3B Instruct,zero-shot,false,,,,,Biskut Marie,Marie biscuits,,
8,8,8,Llama 3.2 3B Instruct,zero-shot,false,,,,,,,,
8,8,8,Llama 3.2 3B Instruct,zero-shot,false,,,,,,,,
8,8,8,Llama 3.2 3B Instruct,zero-shot,false,,,,,,,,
8,8,8,Llama 3.2 3B Instruct,zero-shot,false,,,,,,,,
8,8,8,Llama 3.2 3B Instruct,zero-shot,false,,,,,,,,
8,8,8,Llama 3.2 3B Instruct,zero-shot,false,,,,,,,,
8,8,8,Llama 3.2 3B Instruct,zero-shot,false,,,,,,,,
8,8,8,Llama 3.2 3B Instruct,zero-shot,false,,,,,,,,
8,8,8,Llama 3.2 3B Instruct,zero-shot,false,,,,,,,,
8,8,8,Llama 3.2 3B Instruct,zero-shot,false,,,,,,,,
8,8,8,Llama 3.2 3B Instruct,zero-shot,false,,,,,,,,
8,8,8,Llama 3.2 3B Instruct,zero-shot,false,,,,,,,,
8,8,8,Llama 3.2 3B Instruct,zero-shot,false,,,,,,,,
8,8,8,Llama 3.2 3B Instruct,zero-shot,false,,,,,,,,
8,8,8,Llama 3.2 3B Instruct,zero-shot,false,,,,,,,,
8,8,8,Llama 3.2 3B Instruct,zero-shot,false,,,,,,,,
8,8,8,Llama 3.2 3B Instruct,zero-shot,false,,,,,,,,
8,8,8,Llama 3.2 3B Instruct,zero-shot,false,,,,,,,,
8,8,8,Llama 3.2 3B Instruct,zero-shot,false,,,,,,,,
9,9,9,Llama 3.2 3B Instruct,zero-shot,false,Pisang,Banana,,,Pisang,Banana,,pieces
9,9,9,Llama 3.2 3B Instruct,zero-shot,false,Pisang,Banana,biji,,Pisang,Banana,,pieces
9,9,9,Llama 3.2 3B Instruct,zero-shot,false,Gula Melaka,Palm Sugar,,,Gula Melaka,Gula Melaka,ketul,pieces
9,9,9,Llama 3.2 3B Instruct,zero-shot,false,Sagu,Sago,,,Sagu,Tapioca Starch,,
9,9,9,Llama 3.2 3B Instruct,zero-shot,false,Garam,Salt,,,Garam,Salt,,
9,9,9,Llama 3.2 3B Instruct,zero-shot,false,Susu Cair,Evaporated Milk,,,Susu Cair,Milk,,
11,11,11,Llama 3.2 3B Instruct,zero-shot,false,susu cair,Evaporated Milk,tin,,Susu Cair,Canned Milk,,tin
11,11,11,Llama 3.2 3B Instruct,zero-shot,false,fresh milk,Fresh Milk,cawan,,Fresh Milk,Fresh Milk,,cawan
11,11,11,Llama 3.2 3B Instruct,zero-shot,false,air,Water,cawan,,Air,Water,,cawan
11,11,11,Llama 3.2 3B Instruct,zero-shot,false,susu pekat,Sweetened Condensed Milk ,cawan,,Susu Pekat,Condensed Milk,,cawan
11,11,11,Llama 3.2 3B Instruct,zero-shot,false,agar agar,Agar,gram,,Agar-Agar,Agar Agar,,gram
11,11,11,Llama 3.2 3B Instruct,zero-shot,false,buah naga,Dragon Fruit ,biji,,Buah Naga,Dragon Fruit,,biji
13,13,13,Llama 3.2 3B Instruct,zero-shot,false,,,,,Bihun,Rice Noodles,,
13,13,13,Llama 3.2 3B Instruct,zero-shot,false,,,,,Bawang Merah,Red Onion,,
13,13,13,Llama 3.2 3B Instruct,zero-shot,false,,,,,Bawang Putih,Garlic,,
13,13,13,Llama 3.2 3B Instruct,zero-shot,false,,,,,Ikan Bilis,Dried Fish,biji,grams
13,13,13,Llama 3.2 3B Instruct,zero-shot,false,,,,,Cili,Chili Pepper,,
13,13,13,Llama 3.2 3B Instruct,zero-shot,false,,,,,Sos Tiram,Tamarind Sauce,,
13,13,13,Llama 3.2 3B Instruct,zero-shot,false,,,,,Kicap Manis,Sweet Soy Sauce,,
13,13,13,Llama 3.2 3B Instruct,zero-shot,false,,,,,Sos Tomato,Tomato Sauce,,
13,13,13,Llama 3.2 3B Instruct,zero-shot,false,,,,,Cili,Chili Pepper,,
13,13,13,Llama 3.2 3B Instruct,zero-shot,false,,,,,Petis Udang,Shrimp Paste,biji,grams
13,13,13,Llama 3.2 3B Instruct,zero-shot,false,garam,salt,sudu kecil,,Garam,Salt,,
13,13,13,Llama 3.2 3B Instruct,zero-shot,false,,,,,Sos Ikan,Fish Sauce,,
13,13,13,Llama 3.2 3B Instruct,zero-shot,false,,,,,Sayur Sawi,Spinach,,
13,13,13,Llama 3.2 3B Instruct,zero-shot,false,,,,,Lada,Pepper,,
16,16,16,Llama 3.2 3B Instruct,zero-shot,false,,,,,,,ulas,grams
16,16,16,Llama 3.2 3B Instruct,zero-shot,false,,,,,,,biji,grams
16,16,16,Llama 3.2 3B Instruct,zero-shot,false,,,,,,,ketul,grams
16,16,16,Llama 3.2 3B Instruct,zero-shot,false,,,,,,,pinggan,grams
16,16,16,Llama 3.2 3B Instruct,zero-shot,false,,,,,,,biji,grams
16,16,16,Llama 3.2 3B Instruct,zero-shot,false,,,,,,,biji,grams
16,16,16,Llama 3.2 3B Instruct,zero-shot,false,,,,,,,ulas,grams
16,16,16,Llama 3.2 3B Instruct,zero-shot,false,,,,,,,biji,grams
16,16,16,Llama 3.2 3B Instruct,zero-shot,false,,,,,,,biji,grams
17,17,17,Llama 3.2 3B Instruct,zero-shot,false,,,,,Daging Frozen,Frozen Meat,,grams
17,17,17,Llama 3.2 3B Instruct,zero-shot,false,,,,,Macaroni,Macaroni,,grams
17,17,17,Llama 3.2 3B Instruct,zero-shot,false,,,,,Bawang Merah,Red Onion,,ulas
17,17,17,Llama 3.2 3B Instruct,zero-shot,false,,,,,Bawang Putih,Garlic,,ulas
17,17,17,Llama 3.2 3B Instruct,zero-shot,false,,,,,Cili,Chili,,sudu
17,17,17,Llama 3.2 3B Instruct,zero-shot,false,,,,,Kicap Manis,Sweet Soy Sauce,,sudu
17,17,17,Llama 3.2 3B Instruct,zero-shot,false,,,,,Sos Tiram,Tiramisu Sauce,,sudu
17,17,17,Llama 3.2 3B Instruct,zero-shot,false,,,,,Sos Tomato,Tomato Sauce,,sudu
17,17,17,Llama 3.2 3B Instruct,zero-shot,false,,,,,Lada,Black Pepper,,
17,17,17,Llama 3.2 3B Instruct,zero-shot,false,,,,,Daun Sup,Spinach,,
17,17,17,Llama 3.2 3B Instruct,zero-shot,false,,,,,Bawang Goreng,Fried Garlic,,
17,17,17,Llama 3.2 3B Instruct,zero-shot,false,,,,,Limau Nipis,Lime Juice,,
19,19,19,Llama 3.2 3B Instruct,zero-shot,false,,,,,Bawang Merah,Onion,,grams
19,19,19,Llama 3.2 3B Instruct,zero-shot,false,,,,,Daun Kucai,Pandan Leaves,,grams
19,19,19,Llama 3.2 3B Instruct,zero-shot,false,,,,,Lada Besar,Large Pepper,,grams
19,19,19,Llama 3.2 3B Instruct,zero-shot,false,,,,,Crab Stick,Crab Stick,,grams
19,19,19,Llama 3.2 3B Instruct,zero-shot,false,tepung gandum,wheat flour,cawan ,,Tepung Gandum,Gandum Flour,,grams
19,19,19,Llama 3.2 3B Instruct,zero-shot,false,,,,,Ikan Bilis,Dried Anchovies,,grams
19,19,19,Llama 3.2 3B Instruct,zero-shot,false,garam biasa,salt,,,Garam,Salt,,grams
19,19,19,Llama 3.2 3B Instruct,zero-shot,false,,,,,F&N Club Soda Water,Club Soda Water,,cawan
20,20,20,Llama 3.2 3B Instruct,zero-shot,false,,,,,னிுக,Kacang Tanah,,
20,20,20,Llama 3.2 3B Instruct,zero-shot,false,bawang merah,red onions,null ,,பிுக,Bawang Merah,,
20,20,20,Llama 3.2 3B Instruct,zero-shot,false,,,,,பிுக,Seri,,
20,20,20,Llama 3.2 3B Instruct,zero-shot,false,,,,,பிுக,Lengkuas,,
20,20,20,Llama 3.2 3B Instruct,zero-shot,false,,,,,பிுக,Halia,,
20,20,20,Llama 3.2 3B Instruct,zero-shot,false,,,,,பிுக,Bawang Putih,,
20,20,20,Llama 3.2 3B Instruct,zero-shot,false,,,,,பிுக,Udang Kering,,
20,20,20,Llama 3.2 3B Instruct,zero-shot,false,,,,,பிுக,Cili Kisar,,
20,20,20,Llama 3.2 3B Instruct,zero-shot,false,,,,,பிுக,Gula Melaka,,
20,20,20,Llama 3.2 3B Instruct,zero-shot,false,garam,salt,null ,,பிுக,Garam,,
20,20,20,Llama 3.2 3B Instruct,zero-shot,false,,,,,பிுக,Perasa,,
22,22,22,Llama 3.2 3B Instruct,zero-shot,false,,,,,盤気趀,Tofu,,
22,22,22,Llama 3.2 3B Instruct,zero-shot,false,,,,,趀盤,Tofu (firm),,
22,22,22,Llama 3.2 3B Instruct,zero-shot,false,,,,,趀盤,Tofu (firm),,
22,22,22,Llama 3.2 3B Instruct,zero-shot,false,,,,,趀盤,Tofu (firm),,
22,22,22,Llama 3.2 3B Instruct,zero-shot,false,,,,,趀盤,Tofu (firm),,
22,22,22,Llama 3.2 3B Instruct,zero-shot,false,,,,,趀盤,Tofu (firm),,
22,22,22,Llama 3.2 3B Instruct,zero-shot,false,,,,,趀盤,Tofu (firm),,
22,22,22,Llama 3.2 3B Instruct,zero-shot,false,,,,,趀盤,Tofu (firm),,
22,22,22,Llama 3.2 3B Instruct,zero-shot,false,,,,,趀盤,Tofu (firm),,
22,22,22,Llama 3.2 3B Instruct,zero-shot,false,,,,,趀盤,Tofu (firm),,
22,22,22,Llama 3.2 3B Instruct,zero-shot,false,,,,,趀盤,Tofu (firm),,
22,22,22,Llama 3.2 3B Instruct,zero-shot,false,,,,,趀盤,Tofu (firm),,
22,22,22,Llama 3.2 3B Instruct,zero-shot,false,,,,,趀盤,Tofu (firm),,
22,22,22,Llama 3.2 3B Instruct,zero-shot,false,,,,,趀盤,Tofu (firm),,
22,22,22,Llama 3.2 3B Instruct,zero-shot,false,,,,,趀盤,Tofu (firm),,
22,22,22,Llama 3.2 3B Instruct,zero-shot,false,,,,,趀盤,Tofu (firm),,
22,22,22,Llama 3.2 3B Instruct,zero-shot,false,,,,,趀盤,Tofu (firm),,
22,22,22,Llama 3.2 3B Instruct,zero-shot,false,,,,,趀盤,Tofu (firm),,
22,22,22,Llama 3.2 3B Instruct,zero-shot,false,,,,,趀盤,Tofu (firm),,
22,22,22,Llama 3.2 3B Instruct,zero-shot,false,,,,,趀盤,Tofu (firm),,
23,23,23,Llama 3.2 3B Instruct,zero-shot,false,udang,Prawns,,,Udang,Shrimp,,grams
23,23,23,Llama 3.2 3B Instruct,zero-shot,false,tempoyak,Fermented durian paste,sudu_besar,,Tempoyak,Fermented Duck Blood,,grams
23,23,23,Llama 3.2 3B Instruct,zero-shot,false,petai,Bitter beans,,,Petai,Stinging Nettle,,grams
23,23,23,Llama 3.2 3B Instruct,zero-shot,false,garam,Salt,,,Garam,Salt,,
23,23,23,Llama 3.2 3B Instruct,zero-shot,false,kunyit,Turmeric,,,Kunyit,Turmeric,,
23,23,23,Llama 3.2 3B Instruct,zero-shot,false,bawang merah,Red onion / Shallot,biji,,Bawang Merah,Red Onion,,piece
23,23,23,Llama 3.2 3B Instruct,zero-shot,false,bawang putih,Garlic,ulas,,Bawang Putih,Garlic,,bulb
23,23,23,Llama 3.2 3B Instruct,zero-shot,false,serai,Lemongrass,batang,,Seri,Lemongrass,,stick
23,23,23,Llama 3.2 3B Instruct,zero-shot,false,,,,,Gula Serbuk,Brown Sugar,,
24,24,24,Llama 3.2 3B Instruct,zero-shot,false,chocolate chips,Chocolate chips,cawan,,,Chocolate Chips,,
24,24,24,Llama 3.2 3B Instruct,zero-shot,false,whipping cream,Whipping cream,keping,,,Whipping Cream,,
24,24,24,Llama 3.2 3B Instruct,zero-shot,false,cooking cream,Cooking cream,cawan,,,Cooking Cream,,
25,25,25,Llama 3.2 3B Instruct,zero-shot,false,bawang putih,Garlic,ulas,,Bawang putih,Garlic,ulas,pieces
25,25,25,Llama 3.2 3B Instruct,zero-shot,false,,,,,Ketumbar,Parsley,ulas,pieces
25,25,25,Llama 3.2 3B Instruct,zero-shot,false,bawang merah,Red onion / Shallot,biji,,Bawang merah,Red onion,biji,piece
25,25,25,Llama 3.2 3B Instruct,zero-shot,false,serai,Lemongrass,batang,,Serai,Lemongrass,serbuk,tablespoon
25,25,25,Llama 3.2 3B Instruct,zero-shot,false,sup bunjut ikan,Fish soup spice pouch,keping,,Sup bunjut ikan,,biji,piece
25,25,25,Llama 3.2 3B Instruct,zero-shot,false,cili padi,Bird's eye chilies,biji,,Cili padi,Red chili pepper,ulas,pieces
25,25,25,Llama 3.2 3B Instruct,zero-shot,false,ikan merah,Red snapper,,,Ikan merah,Red fish,pinggan,cup
25,25,25,Llama 3.2 3B Instruct,zero-shot,false,ikan merah,Red snapper,,,Ikan merah,Red fish,pinggan,cup
25,25,25,Llama 3.2 3B Instruct,zero-shot,false,tomato,Tomato,biji,,Tomato,Tomato,biji,piece
26,26,26,Llama 3.2 3B Instruct,zero-shot,false,tepung gandum,Wheat flour,cawan,,Tepung gandum,All-purpose flour,cawan,cup
26,26,26,Llama 3.2 3B Instruct,zero-shot,false,garam,Salt,sudu_kecil,,Garam,Salt,sudu kecil,teaspoon
26,26,26,Llama 3.2 3B Instruct,zero-shot,false,cinnamon,Cinnamon powder,sudu_kecil,,Cinnamon,Cinnamon,sudu kecil,teaspoon
26,26,26,Llama 3.2 3B Instruct,zero-shot,false,baking powder,Baking powder,sudu_kecil,,Baking powder,Baking powder,sudu kecil,teaspoon
26,26,26,Llama 3.2 3B Instruct,zero-shot,false,gula,Sugar,sudu_besar,,Gula,Sugar,sudu makan,tablespoon
26,26,26,Llama 3.2 3B Instruct,zero-shot,false,telur,Egg,biji,,Telur,Egg,biji,egg
26,26,26,Llama 3.2 3B Instruct,zero-shot,false,esen vanila,Vanilla essence,sudu_kecil,,Esen vanila,Vanilla extract,sudu kecil,teaspoon
26,26,26,Llama 3.2 3B Instruct,zero-shot,false,,,,,Dairy milk,Milk,cawan,cup
26,26,26,Llama 3.2 3B Instruct,zero-shot,false,butter,Butter,sudu_besar,,Butter,Butter,ketul,tablespoon
26,26,26,Llama 3.2 3B Instruct,zero-shot,false,apple hijau,Green apple,,,Apple hijau,Green apple,,
27,27,27,Llama 3.2 3B Instruct,zero-shot,false,siakap,Barramundi,,,னிகு,Siakap,,
27,27,27,Llama 3.2 3B Instruct,zero-shot,false,,,,,பிகு,Serasi,,
27,27,27,Llama 3.2 3B Instruct,zero-shot,false,halia,Ginger,,,கிு,Halia,,
27,27,27,Llama 3.2 3B Instruct,zero-shot,false,halia,Ginger,,,கிு,Halia,,
27,27,27,Llama 3.2 3B Instruct,zero-shot,false,Akar ketumbar,Coriander roots,,,கிு,Akar ketumbar,,
27,27,27,Llama 3.2 3B Instruct,zero-shot,false,,,,,கிு,Serasi,,
27,27,27,Llama 3.2 3B Instruct,zero-shot,false,,,,,கிு,Serasi,,
27,27,27,Llama 3.2 3B Instruct,zero-shot,false,,,,,கிு,Serasi,,
27,27,27,Llama 3.2 3B Instruct,zero-shot,false,,,,,கிு,Serasi,,
27,27,27,Llama 3.2 3B Instruct,zero-shot,false,,,,,கிு,Serasi,,
27,27,27,Llama 3.2 3B Instruct,zero-shot,false,,,,,கிு,Serasi,,
27,27,27,Llama 3.2 3B Instruct,zero-shot,false,,,,,கிு,Serasi,,
27,27,27,Llama 3.2 3B Instruct,zero-shot,false,,,,,கிு,Serasi,,
27,27,27,Llama 3.2 3B Instruct,zero-shot,false,,,,,கிு,Serasi,,
27,27,27,Llama 3.2 3B Instruct,zero-shot,false,,,,,கிு,Serasi,,
27,27,27,Llama 3.2 3B Instruct,zero-shot,false,,,,,கிு,Serasi,,
27,27,27,Llama 3.2 3B Instruct,zero-shot,false,,,,,கிு,Serasi,,
27,27,27,Llama 3.2 3B Instruct,zero-shot,false,,,,,கிு,Serasi,,
27,27,27,Llama 3.2 3B Instruct,zero-shot,false,,,,,கிு,Serasi,,
28,28,28,Llama 3.2 3B Instruct,zero-shot,false,chia seeds,Chia seeds,cawan,,னி௃கழ்,Chia seeds,,
28,28,28,Llama 3.2 3B Instruct,zero-shot,false,,,,,பி௃கழ்,Full cream milk,,
28,28,28,Llama 3.2 3B Instruct,zero-shot,false,santan,Coconut milk,cawan,,பி௃கழ்,Santan,,
28,28,28,Llama 3.2 3B Instruct,zero-shot,false,peanut butter,Peanut butter,,,பி௃கழ்,Peanut butter,,
28,28,28,Llama 3.2 3B Instruct,zero-shot,false,coklat cip,Chocolate chips,,,பி௃கழ்,Coklat cip,,
28,28,28,Llama 3.2 3B Instruct,zero-shot,false,kekacang,Peanut brittle / Crushed nuts,,,பி௃கழ்,Kekacang,,
28,28,28,Llama 3.2 3B Instruct,zero-shot,false,madu,Honey,,,பி௃கழ்,Madu,,
28,28,28,Llama 3.2 3B Instruct,zero-shot,false,pisang,Banana,,,பி௃கழ்,Pisang,,
28,28,28,Llama 3.2 3B Instruct,zero-shot,false,biskut,Biscuits / Cookies,,,பி௃கழ்,Biskut,,
28,28,28,Llama 3.2 3B Instruct,zero-shot,false,coklat hazelnut,Hazelnut chocolate spread,,,பி௃கழ்,Coklat hazelnut,,
28,28,28,Llama 3.2 3B Instruct,zero-shot,false,,,,,பி௃கழ்,Naga,,
28,28,28,Llama 3.2 3B Instruct,zero-shot,false,blueberry,Blueberries,,,பி௃கழ்,Blueberry,,
28,28,28,Llama 3.2 3B Instruct,zero-shot,false,coklat cip,Chocolate chips,,,பி௃கழ்,Coklat cip,,
29,29,29,Llama 3.2 3B Instruct,zero-shot,false,bawang putih,Garlic,ulas,,Bawang putih,Garlic,ulas,pieces
29,29,29,Llama 3.2 3B Instruct,zero-shot,false,halia,Ginger,,,Halia,Ginger,ibu jari,
29,29,29,Llama 3.2 3B Instruct,zero-shot,false,lengkuas,Galangal,,,Lengkuas,Galangal,ibu jari,
29,29,29,Llama 3.2 3B Instruct,zero-shot,false,kunyit hidup,Fresh turmeric,keping,,Kunyit hidup,Fresh turmeric,ketul,
29,29,29,Llama 3.2 3B Instruct,zero-shot,false,biji ketumbar,Coriander seeds,sudu_kecil,,Biji ketumbar,Coriander seeds,sudu kecil,
29,29,29,Llama 3.2 3B Instruct,zero-shot,false,jintan putih,Cumin seeds,sudu_kecil,,Jintan putih,White peppercorns,sudu kecil,
29,29,29,Llama 3.2 3B Instruct,zero-shot,false,buah keras,Candlenuts,biji,,Buah keras,Pineapple,biji,
29,29,29,Llama 3.2 3B Instruct,zero-shot,false,bunga lawang,Star anise,keping,,Bunga lawang,Kaffir lime leaves,,
29,29,29,Llama 3.2 3B Instruct,zero-shot,false,daun lima purut,Kaffir lime leaves,helai,,Bunga lawang,Kaffir lime leaves,,
29,29,29,Llama 3.2 3B Instruct,zero-shot,false,,,,,Pelaga,Galangal leaves,,
29,29,29,Llama 3.2 3B Instruct,zero-shot,false,serai,Lemongrass,batang,,Serai,Lemongrass,batang,
29,29,29,Llama 3.2 3B Instruct,zero-shot,false,,,,,Daun salam,Bay leaves,helai,
29,29,29,Llama 3.2 3B Instruct,zero-shot,false,bawang besar,Large onion,,,Bawang besar,Onion,,
29,29,29,Llama 3.2 3B Instruct,zero-shot,false,cili kisar,Chili paste,sudu_besar,,Cili kisar,Red chili peppers,sudu kecil,
29,29,29,Llama 3.2 3B Instruct,zero-shot,false,ayam,Chicken,,,Ayam,Chicken,,
29,29,29,Llama 3.2 3B Instruct,zero-shot,false,santan,Coconut milk,keping,,Santan,Coconut milk,kotak kecil,
30,30,30,Llama 3.2 3B Instruct,zero-shot,false,,,,,,,,
30,30,30,Llama 3.2 3B Instruct,zero-shot,false,,,,,,,,
30,30,30,Llama 3.2 3B Instruct,zero-shot,false,,,,,,,,
30,30,30,Llama 3.2 3B Instruct,zero-shot,false,,,,,,,,
31,31,31,Llama 3.2 3B Instruct,zero-shot,false,bawang putih,garlic,ulas,,னிகை,Garlic,స,ulas
31,31,31,Llama 3.2 3B Instruct,zero-shot,false,,,,,సிகை,Chili peppers,స,cili padi
31,31,31,Llama 3.2 3B Instruct,zero-shot,false,butter,butter,sudu_besar,,கிை,Butter,స,sudu
31,31,31,Llama 3.2 3B Instruct,zero-shot,false,,,,,கிை,Buttermilk sauce,స,sudu
31,31,31,Llama 3.2 3B Instruct,zero-shot,false,,,,,கிை,Cumin powder,స,tangkai
31,31,31,Llama 3.2 3B Instruct,zero-shot,false,cheese,cheese,keping,,கிை,Cheese,స,keping
31,31,31,Llama 3.2 3B Instruct,zero-shot,false,,,,,ಞிகை,Roti mantou,స,ulas
33,33,33,Llama 3.2 3B Instruct,zero-shot,false,bawang putih,garlic,ulas,,னிகு,Garlic,,
33,33,33,Llama 3.2 3B Instruct,zero-shot,false,,,,,பிகு,Onion,,
33,33,33,Llama 3.2 3B Instruct,zero-shot,false,fish cake,fish cake,buah,,மிகு,Fish cake,,
33,33,33,Llama 3.2 3B Instruct,zero-shot,false,,,,,கிு,Udon noodles,,
33,33,33,Llama 3.2 3B Instruct,zero-shot,false,carrots,carrot,sedikit,,கிு,Carrots,,
33,33,33,Llama 3.2 3B Instruct,zero-shot,false,minyak bijan,sesame oil,,,கிு,Sesame oil,,
33,33,33,Llama 3.2 3B Instruct,zero-shot,false,,,,,கிு,Salt,,
35,35,35,Llama 3.2 3B Instruct,zero-shot,false,gula,sugar,cawan,,gula,sugar,,cup
35,35,35,Llama 3.2 3B Instruct,zero-shot,false,roti,bread,keping,,roti,bread,,slice
35,35,35,Llama 3.2 3B Instruct,zero-shot,false,,,,,krimer sejat FNN,heavy cream,,cup
35,35,35,Llama 3.2 3B Instruct,zero-shot,false,telur,egg,biji,,telur,egg,,piece
35,35,35,Llama 3.2 3B Instruct,zero-shot,false,,,,,krimer manis FNN,sugar cream cheese,,cup
35,35,35,Llama 3.2 3B Instruct,zero-shot,false,esen vanila,vanilla essence,sudu_kecil,,esen vanila,vanilla extract,,teaspoon
36,36,36,Llama 3.2 3B Instruct,zero-shot,false,,,,,,,tin,can
36,36,36,Llama 3.2 3B Instruct,zero-shot,false,,,,,,,biji,pieces
36,36,36,Llama 3.2 3B Instruct,zero-shot,false,,,,,,,ketul,cup
36,36,36,Llama 3.2 3B Instruct,zero-shot,false,,,,,,,biji,piece
36,36,36,Llama 3.2 3B Instruct,zero-shot,false,,,,,,,biji,piece
36,36,36,Llama 3.2 3B Instruct,zero-shot,false,,,,,,,biji,piece
36,36,36,Llama 3.2 3B Instruct,zero-shot,false,,,,,,,biji,piece
36,36,36,Llama 3.2 3B Instruct,zero-shot,false,,,,,,,biji,piece
36,36,36,Llama 3.2 3B Instruct,zero-shot,false,,,,,,,biji,piece
36,36,36,Llama 3.2 3B Instruct,zero-shot,false,,,,,,,biji,piece
36,36,36,Llama 3.2 3B Instruct,zero-shot,false,,,,,,,biji,piece
36,36,36,Llama 3.2 3B Instruct,zero-shot,false,,,,,,,biji,piece
36,36,36,Llama 3.2 3B Instruct,zero-shot,false,,,,,,,biji,piece
36,36,36,Llama 3.2 3B Instruct,zero-shot,false,,,,,,,biji,piece
36,36,36,Llama 3.2 3B Instruct,zero-shot,false,,,,,,,biji,piece
36,36,36,Llama 3.2 3B Instruct,zero-shot,false,,,,,,,biji,piece
36,36,36,Llama 3.2 3B Instruct,zero-shot,false,,,,,,,biji,piece
36,36,36,Llama 3.2 3B Instruct,zero-shot,false,,,,,,,biji,piece
