experiment_id,video_id,model_name,technique_name,rag_enabled,gt_ingredient_count,pred_ingredient_count,true_positives,false_positives
134,34,Llama 3.2 3B Instruct,chain-of-thought,false,15,6,0,6
135,35,Llama 3.2 3B Instruct,chain-of-thought,false,8,4,4,0
136,36,Llama 3.2 3B Instruct,chain-of-thought,false,12,9,0,9
137,37,Llama 3.2 3B Instruct,chain-of-thought,false,11,0,0,0
138,38,Llama 3.2 3B Instruct,chain-of-thought,false,9,7,4,3
139,39,Llama 3.2 3B Instruct,chain-of-thought,false,15,4,0,4
140,40,Llama 3.2 3B Instruct,chain-of-thought,false,13,7,0,7
141,41,Llama 3.2 3B Instruct,chain-of-thought,false,15,0,0,0
142,42,Llama 3.2 3B Instruct,chain-of-thought,false,14,6,6,0
143,43,Llama 3.2 3B Instruct,chain-of-thought,false,15,11,0,11
144,44,Llama 3.2 3B Instruct,chain-of-thought,false,32,0,0,0
145,45,Llama 3.2 3B Instruct,chain-of-thought,false,7,7,1,6
146,46,Llama 3.2 3B Instruct,chain-of-thought,false,18,6,6,0
147,47,Llama 3.2 3B Instruct,chain-of-thought,false,12,5,0,5
148,48,Llama 3.2 3B Instruct,chain-of-thought,false,21,0,0,0
149,49,Llama 3.2 3B Instruct,chain-of-thought,false,18,3,2,1
150,50,Llama 3.2 3B Instruct,chain-of-thought,false,15,6,0,6
151,1,Llama 3.2 3B Instruct,structured-output,false,16,15,11,4
152,2,Llama 3.2 3B Instruct,structured-output,false,12,7,6,1
153,3,Llama 3.2 3B Instruct,structured-output,false,12,12,7,5
154,4,Llama 3.2 3B Instruct,structured-output,false,20,10,7,3
155,5,Llama 3.2 3B Instruct,structured-output,false,14,0,0,0
156,6,Llama 3.2 3B Instruct,structured-output,false,16,6,5,1
157,7,Llama 3.2 3B Instruct,structured-output,false,8,3,1,2
158,8,Llama 3.2 3B Instruct,structured-output,false,38,16,13,3
159,9,Llama 3.2 3B Instruct,structured-output,false,8,4,4,0
160,10,Llama 3.2 3B Instruct,structured-output,false,15,0,0,0
161,11,Llama 3.2 3B Instruct,structured-output,false,8,6,6,0
162,12,Llama 3.2 3B Instruct,structured-output,false,17,11,2,9
163,13,Llama 3.2 3B Instruct,structured-output,false,13,0,0,0
164,14,Llama 3.2 3B Instruct,structured-output,false,26,0,0,0
165,15,Llama 3.2 3B Instruct,structured-output,false,9,6,3,3
166,16,Llama 3.2 3B Instruct,structured-output,false,11,5,0,5
167,17,Llama 3.2 3B Instruct,structured-output,false,18,14,1,13
168,18,Llama 3.2 3B Instruct,structured-output,false,17,0,0,0
169,19,Llama 3.2 3B Instruct,structured-output,false,17,0,0,0
170,20,Llama 3.2 3B Instruct,structured-output,false,17,0,0,0
171,21,Llama 3.2 3B Instruct,structured-output,false,13,0,0,0
172,22,Llama 3.2 3B Instruct,structured-output,false,15,11,8,3
173,23,Llama 3.2 3B Instruct,structured-output,false,15,0,0,0
174,24,Llama 3.2 3B Instruct,structured-output,false,3,3,3,0
175,25,Llama 3.2 3B Instruct,structured-output,false,16,0,0,0
176,26,Llama 3.2 3B Instruct,structured-output,false,12,0,0,0
177,27,Llama 3.2 3B Instruct,structured-output,false,15,9,0,9
178,28,Llama 3.2 3B Instruct,structured-output,false,20,12,10,2
179,29,Llama 3.2 3B Instruct,structured-output,false,17,16,13,3
180,30,Llama 3.2 3B Instruct,structured-output,false,2,2,2,0
181,31,Llama 3.2 3B Instruct,structured-output,false,9,8,8,0
182,32,Llama 3.2 3B Instruct,structured-output,false,12,8,5,3
183,33,Llama 3.2 3B Instruct,structured-output,false,11,7,7,0
184,34,Llama 3.2 3B Instruct,structured-output,false,15,0,0,0
185,35,Llama 3.2 3B Instruct,structured-output,false,8,5,4,1
186,36,Llama 3.2 3B Instruct,structured-output,false,12,5,5,0
187,37,Llama 3.2 3B Instruct,structured-output,false,11,0,0,0
188,38,Llama 3.2 3B Instruct,structured-output,false,9,8,5,3
189,39,Llama 3.2 3B Instruct,structured-output,false,15,0,0,0
190,40,Llama 3.2 3B Instruct,structured-output,false,13,0,0,0
191,41,Llama 3.2 3B Instruct,structured-output,false,15,0,0,0
192,42,Llama 3.2 3B Instruct,structured-output,false,14,12,12,0
193,43,Llama 3.2 3B Instruct,structured-output,false,15,0,0,0
194,44,Llama 3.2 3B Instruct,structured-output,false,32,9,8,1
195,45,Llama 3.2 3B Instruct,structured-output,false,7,7,4,3
196,46,Llama 3.2 3B Instruct,structured-output,false,18,7,6,1
197,47,Llama 3.2 3B Instruct,structured-output,false,12,4,3,1
198,48,Llama 3.2 3B Instruct,structured-output,false,21,10,8,2
199,49,Llama 3.2 3B Instruct,structured-output,false,18,10,9,1
200,50,Llama 3.2 3B Instruct,structured-output,false,15,18,0,18
201,1,Phi-4-mini 3.8B Instruct,zero-shot,false,16,0,0,0
202,2,Phi-4-mini 3.8B Instruct,zero-shot,false,12,1,0,1
203,3,Phi-4-mini 3.8B Instruct,zero-shot,false,12,1,0,1
204,4,Phi-4-mini 3.8B Instruct,zero-shot,false,20,1,0,1
205,5,Phi-4-mini 3.8B Instruct,zero-shot,false,14,1,0,1
206,6,Phi-4-mini 3.8B Instruct,zero-shot,false,16,0,0,0
207,7,Phi-4-mini 3.8B Instruct,zero-shot,false,8,1,0,1
208,8,Phi-4-mini 3.8B Instruct,zero-shot,false,38,1,0,1
209,9,Phi-4-mini 3.8B Instruct,zero-shot,false,8,0,0,0
210,10,Phi-4-mini 3.8B Instruct,zero-shot,false,15,0,0,0
211,11,Phi-4-mini 3.8B Instruct,zero-shot,false,8,1,0,1
212,12,Phi-4-mini 3.8B Instruct,zero-shot,false,17,0,0,0
213,13,Phi-4-mini 3.8B Instruct,zero-shot,false,13,1,0,1
214,14,Phi-4-mini 3.8B Instruct,zero-shot,false,26,1,0,1
215,15,Phi-4-mini 3.8B Instruct,zero-shot,false,9,0,0,0
216,16,Phi-4-mini 3.8B Instruct,zero-shot,false,11,1,0,1
217,17,Phi-4-mini 3.8B Instruct,zero-shot,false,18,12,0,12
218,18,Phi-4-mini 3.8B Instruct,zero-shot,false,17,1,0,1
219,19,Phi-4-mini 3.8B Instruct,zero-shot,false,17,1,0,1
220,20,Phi-4-mini 3.8B Instruct,zero-shot,false,17,1,0,1
221,21,Phi-4-mini 3.8B Instruct,zero-shot,false,13,1,0,1
222,22,Phi-4-mini 3.8B Instruct,zero-shot,false,15,1,0,1
223,23,Phi-4-mini 3.8B Instruct,zero-shot,false,15,14,8,6
224,24,Phi-4-mini 3.8B Instruct,zero-shot,false,3,1,0,1
225,25,Phi-4-mini 3.8B Instruct,zero-shot,false,16,10,8,2
226,26,Phi-4-mini 3.8B Instruct,zero-shot,false,12,0,0,0
227,27,Phi-4-mini 3.8B Instruct,zero-shot,false,15,0,0,0
228,28,Phi-4-mini 3.8B Instruct,zero-shot,false,20,13,10,3
229,29,Phi-4-mini 3.8B Instruct,zero-shot,false,17,0,0,0
230,30,Phi-4-mini 3.8B Instruct,zero-shot,false,2,1,0,1
231,31,Phi-4-mini 3.8B Instruct,zero-shot,false,9,10,6,4
232,32,Phi-4-mini 3.8B Instruct,zero-shot,false,12,0,0,0
233,33,Phi-4-mini 3.8B Instruct,zero-shot,false,11,1,0,1
234,34,Phi-4-mini 3.8B Instruct,zero-shot,false,15,0,0,0
235,35,Phi-4-mini 3.8B Instruct,zero-shot,false,8,5,1,4
236,36,Phi-4-mini 3.8B Instruct,zero-shot,false,12,1,0,1
237,37,Phi-4-mini 3.8B Instruct,zero-shot,false,11,13,4,9
238,38,Phi-4-mini 3.8B Instruct,zero-shot,false,9,0,0,0
239,39,Phi-4-mini 3.8B Instruct,zero-shot,false,15,17,8,9
240,40,Phi-4-mini 3.8B Instruct,zero-shot,false,13,12,1,11
241,41,Phi-4-mini 3.8B Instruct,zero-shot,false,15,1,0,1
242,42,Phi-4-mini 3.8B Instruct,zero-shot,false,14,0,0,0
243,43,Phi-4-mini 3.8B Instruct,zero-shot,false,15,1,0,1
244,44,Phi-4-mini 3.8B Instruct,zero-shot,false,32,1,0,1
245,45,Phi-4-mini 3.8B Instruct,zero-shot,false,7,1,0,1
246,46,Phi-4-mini 3.8B Instruct,zero-shot,false,18,1,0,1
247,47,Phi-4-mini 3.8B Instruct,zero-shot,false,12,1,0,1
248,48,Phi-4-mini 3.8B Instruct,zero-shot,false,21,9,7,2
249,49,Phi-4-mini 3.8B Instruct,zero-shot,false,18,1,0,1
250,50,Phi-4-mini 3.8B Instruct,zero-shot,false,15,1,0,1
251,1,Phi-4-mini 3.8B Instruct,few-shot,false,16,0,0,0
252,2,Phi-4-mini 3.8B Instruct,few-shot,false,12,0,0,0
253,3,Phi-4-mini 3.8B Instruct,few-shot,false,12,11,5,6
254,4,Phi-4-mini 3.8B Instruct,few-shot,false,20,1,0,1
255,5,Phi-4-mini 3.8B Instruct,few-shot,false,14,0,0,0
256,6,Phi-4-mini 3.8B Instruct,few-shot,false,16,0,0,0
257,7,Phi-4-mini 3.8B Instruct,few-shot,false,8,0,0,0
258,8,Phi-4-mini 3.8B Instruct,few-shot,false,38,7,4,3
259,9,Phi-4-mini 3.8B Instruct,few-shot,false,8,0,0,0
260,10,Phi-4-mini 3.8B Instruct,few-shot,false,15,9,9,0
261,11,Phi-4-mini 3.8B Instruct,few-shot,false,8,6,6,0
262,12,Phi-4-mini 3.8B Instruct,few-shot,false,17,0,0,0
263,13,Phi-4-mini 3.8B Instruct,few-shot,false,13,0,0,0
264,14,Phi-4-mini 3.8B Instruct,few-shot,false,26,4,0,4
265,15,Phi-4-mini 3.8B Instruct,few-shot,false,9,0,0,0
266,16,Phi-4-mini 3.8B Instruct,few-shot,false,11,7,0,7
267,17,Phi-4-mini 3.8B Instruct,few-shot,false,18,12,0,12
268,18,Phi-4-mini 3.8B Instruct,few-shot,false,17,0,0,0
269,19,Phi-4-mini 3.8B Instruct,few-shot,false,17,6,0,6
270,20,Phi-4-mini 3.8B Instruct,few-shot,false,17,17,1,16
271,21,Phi-4-mini 3.8B Instruct,few-shot,false,13,9,9,0
272,22,Phi-4-mini 3.8B Instruct,few-shot,false,15,9,6,3
273,23,Phi-4-mini 3.8B Instruct,few-shot,false,15,0,0,0
274,24,Phi-4-mini 3.8B Instruct,few-shot,false,3,3,3,0
275,25,Phi-4-mini 3.8B Instruct,few-shot,false,16,18,16,2
276,26,Phi-4-mini 3.8B Instruct,few-shot,false,12,0,0,0
277,27,Phi-4-mini 3.8B Instruct,few-shot,false,15,10,6,4
278,28,Phi-4-mini 3.8B Instruct,few-shot,false,20,15,10,5
279,29,Phi-4-mini 3.8B Instruct,few-shot,false,17,16,8,8
280,30,Phi-4-mini 3.8B Instruct,few-shot,false,2,0,0,0
281,31,Phi-4-mini 3.8B Instruct,few-shot,false,9,7,4,3
282,32,Phi-4-mini 3.8B Instruct,few-shot,false,12,0,0,0
283,33,Phi-4-mini 3.8B Instruct,few-shot,false,11,13,8,5
284,34,Phi-4-mini 3.8B Instruct,few-shot,false,15,0,0,0
285,35,Phi-4-mini 3.8B Instruct,few-shot,false,8,5,0,5
286,36,Phi-4-mini 3.8B Instruct,few-shot,false,12,0,0,0
287,37,Phi-4-mini 3.8B Instruct,few-shot,false,11,10,6,4
288,38,Phi-4-mini 3.8B Instruct,few-shot,false,9,14,5,9
289,39,Phi-4-mini 3.8B Instruct,few-shot,false,15,0,0,0
290,40,Phi-4-mini 3.8B Instruct,few-shot,false,13,0,0,0
291,41,Phi-4-mini 3.8B Instruct,few-shot,false,15,0,0,0
292,42,Phi-4-mini 3.8B Instruct,few-shot,false,14,0,0,0
293,43,Phi-4-mini 3.8B Instruct,few-shot,false,15,11,8,3
294,44,Phi-4-mini 3.8B Instruct,few-shot,false,32,13,11,2
295,45,Phi-4-mini 3.8B Instruct,few-shot,false,7,8,4,4
296,46,Phi-4-mini 3.8B Instruct,few-shot,false,18,0,0,0
297,47,Phi-4-mini 3.8B Instruct,few-shot,false,12,0,0,0
298,48,Phi-4-mini 3.8B Instruct,few-shot,false,21,0,0,0
299,49,Phi-4-mini 3.8B Instruct,few-shot,false,18,19,5,14
300,50,Phi-4-mini 3.8B Instruct,few-shot,false,15,0,0,0
301,1,Phi-4-mini 3.8B Instruct,chain-of-thought,false,16,1,0,1
302,2,Phi-4-mini 3.8B Instruct,chain-of-thought,false,12,1,0,1
303,3,Phi-4-mini 3.8B Instruct,chain-of-thought,false,12,1,0,1
304,4,Phi-4-mini 3.8B Instruct,chain-of-thought,false,20,1,0,1
305,5,Phi-4-mini 3.8B Instruct,chain-of-thought,false,14,1,0,1
306,6,Phi-4-mini 3.8B Instruct,chain-of-thought,false,16,1,0,1
307,7,Phi-4-mini 3.8B Instruct,chain-of-thought,false,8,1,0,1
308,8,Phi-4-mini 3.8B Instruct,chain-of-thought,false,38,1,0,1
309,9,Phi-4-mini 3.8B Instruct,chain-of-thought,false,8,1,0,1
310,10,Phi-4-mini 3.8B Instruct,chain-of-thought,false,15,1,0,1
311,11,Phi-4-mini 3.8B Instruct,chain-of-thought,false,8,1,0,1
312,12,Phi-4-mini 3.8B Instruct,chain-of-thought,false,17,10,2,8
313,13,Phi-4-mini 3.8B Instruct,chain-of-thought,false,13,1,0,1
314,14,Phi-4-mini 3.8B Instruct,chain-of-thought,false,26,1,0,1
315,15,Phi-4-mini 3.8B Instruct,chain-of-thought,false,9,1,0,1
316,16,Phi-4-mini 3.8B Instruct,chain-of-thought,false,11,1,0,1
317,17,Phi-4-mini 3.8B Instruct,chain-of-thought,false,18,1,0,1
318,18,Phi-4-mini 3.8B Instruct,chain-of-thought,false,17,1,0,1
319,19,Phi-4-mini 3.8B Instruct,chain-of-thought,false,17,1,0,1
320,20,Phi-4-mini 3.8B Instruct,chain-of-thought,false,17,1,0,1
321,21,Phi-4-mini 3.8B Instruct,chain-of-thought,false,13,0,0,0
322,22,Phi-4-mini 3.8B Instruct,chain-of-thought,false,15,1,0,1
323,23,Phi-4-mini 3.8B Instruct,chain-of-thought,false,15,1,0,1
324,24,Phi-4-mini 3.8B Instruct,chain-of-thought,false,3,1,0,1
325,25,Phi-4-mini 3.8B Instruct,chain-of-thought,false,16,1,0,1
326,26,Phi-4-mini 3.8B Instruct,chain-of-thought,false,12,1,0,1
327,27,Phi-4-mini 3.8B Instruct,chain-of-thought,false,15,1,0,1
328,28,Phi-4-mini 3.8B Instruct,chain-of-thought,false,20,1,0,1
329,29,Phi-4-mini 3.8B Instruct,chain-of-thought,false,17,1,0,1
330,30,Phi-4-mini 3.8B Instruct,chain-of-thought,false,2,1,0,1
331,31,Phi-4-mini 3.8B Instruct,chain-of-thought,false,9,1,0,1
332,32,Phi-4-mini 3.8B Instruct,chain-of-thought,false,12,1,0,1
333,33,Phi-4-mini 3.8B Instruct,chain-of-thought,false,11,1,0,1
334,34,Phi-4-mini 3.8B Instruct,chain-of-thought,false,15,0,0,0
335,35,Phi-4-mini 3.8B Instruct,chain-of-thought,false,8,1,0,1
336,36,Phi-4-mini 3.8B Instruct,chain-of-thought,false,12,1,0,1
337,37,Phi-4-mini 3.8B Instruct,chain-of-thought,false,11,1,0,1
338,38,Phi-4-mini 3.8B Instruct,chain-of-thought,false,9,1,0,1
339,39,Phi-4-mini 3.8B Instruct,chain-of-thought,false,15,1,0,1
340,40,Phi-4-mini 3.8B Instruct,chain-of-thought,false,13,1,0,1
341,41,Phi-4-mini 3.8B Instruct,chain-of-thought,false,15,1,0,1
342,42,Phi-4-mini 3.8B Instruct,chain-of-thought,false,14,1,0,1
343,43,Phi-4-mini 3.8B Instruct,chain-of-thought,false,15,1,0,1
344,44,Phi-4-mini 3.8B Instruct,chain-of-thought,false,32,1,0,1
345,45,Phi-4-mini 3.8B Instruct,chain-of-thought,false,7,1,0,1
346,46,Phi-4-mini 3.8B Instruct,chain-of-thought,false,18,7,6,1
347,47,Phi-4-mini 3.8B Instruct,chain-of-thought,false,12,1,0,1
348,48,Phi-4-mini 3.8B Instruct,chain-of-thought,false,21,1,0,1
349,49,Phi-4-mini 3.8B Instruct,chain-of-thought,false,18,1,0,1
350,50,Phi-4-mini 3.8B Instruct,chain-of-thought,false,15,1,0,1
351,1,Phi-4-mini 3.8B Instruct,structured-output,false,16,1,0,1
352,2,Phi-4-mini 3.8B Instruct,structured-output,false,12,1,0,1
353,3,Phi-4-mini 3.8B Instruct,structured-output,false,12,1,0,1
354,4,Phi-4-mini 3.8B Instruct,structured-output,false,20,1,0,1
355,5,Phi-4-mini 3.8B Instruct,structured-output,false,14,1,0,1
356,6,Phi-4-mini 3.8B Instruct,structured-output,false,16,1,0,1
357,7,Phi-4-mini 3.8B Instruct,structured-output,false,8,1,0,1
358,8,Phi-4-mini 3.8B Instruct,structured-output,false,38,1,0,1
359,9,Phi-4-mini 3.8B Instruct,structured-output,false,8,5,4,1
360,10,Phi-4-mini 3.8B Instruct,structured-output,false,15,0,0,0
361,11,Phi-4-mini 3.8B Instruct,structured-output,false,8,1,0,1
362,12,Phi-4-mini 3.8B Instruct,structured-output,false,17,0,0,0
363,13,Phi-4-mini 3.8B Instruct,structured-output,false,13,1,0,1
364,14,Phi-4-mini 3.8B Instruct,structured-output,false,26,1,0,1
365,15,Phi-4-mini 3.8B Instruct,structured-output,false,9,6,2,4
366,16,Phi-4-mini 3.8B Instruct,structured-output,false,11,1,0,1
367,17,Phi-4-mini 3.8B Instruct,structured-output,false,18,1,0,1
368,18,Phi-4-mini 3.8B Instruct,structured-output,false,17,1,0,1
369,19,Phi-4-mini 3.8B Instruct,structured-output,false,17,1,0,1
370,20,Phi-4-mini 3.8B Instruct,structured-output,false,17,1,0,1
371,21,Phi-4-mini 3.8B Instruct,structured-output,false,13,1,0,1
372,22,Phi-4-mini 3.8B Instruct,structured-output,false,15,1,0,1
373,23,Phi-4-mini 3.8B Instruct,structured-output,false,15,1,0,1
374,24,Phi-4-mini 3.8B Instruct,structured-output,false,3,1,0,1
375,25,Phi-4-mini 3.8B Instruct,structured-output,false,16,1,0,1
376,26,Phi-4-mini 3.8B Instruct,structured-output,false,12,1,0,1
377,27,Phi-4-mini 3.8B Instruct,structured-output,false,15,1,0,1
378,28,Phi-4-mini 3.8B Instruct,structured-output,false,20,1,0,1
379,29,Phi-4-mini 3.8B Instruct,structured-output,false,17,1,0,1
380,30,Phi-4-mini 3.8B Instruct,structured-output,false,2,1,0,1
