experiment_id,video_id,model_name,technique_name,rag_enabled,gt_total_energy_kcal,gt_total_protein_g,gt_total_fat_g,gt_total_carbohydrate_g,pred_total_energy_kcal,pred_total_protein_g,pred_total_fat_g,pred_total_carbohydrate_g
34,34,Llama 3.2 3B Instruct,zero-shot,false,1658.6000006198883,35.28000021725893,115.31000000052154,160.4299996495247,,,,
35,35,Llama 3.2 3B Instruct,zero-shot,false,2489.699987411499,75.89999986626208,149.42999995686114,215.8699995279312,4331.5,40.4,362.2,312.8
36,36,Llama 3.2 3B Instruct,zero-shot,false,1736.5999999046326,11.369999960064888,1.5900000035762787,464.85000072419643,,,,
37,37,Llama 3.2 3B Instruct,zero-shot,false,698.7999992370605,22.939999997615814,37.740000028163195,85.1699989438057,,,,
38,38,Llama 3.2 3B Instruct,zero-shot,false,518.1000008583069,34.12999998033047,15.250000020489097,67.49000066518784,344.8,26.4,24.2,14.3
39,39,Llama 3.2 3B Instruct,zero-shot,false,4191.699996471405,116.25999984145164,17.37999999895692,877.9400005936623,1234.5,29.9,74.9,244.3
40,40,Llama 3.2 3B Instruct,zero-shot,false,2192.099998474121,109.46999964118004,151.75999958999455,137.2499982714653,420.2,14.5,24.1,34.5
41,41,Llama 3.2 3B Instruct,zero-shot,false,4663.299999952316,185.49999967217445,127.98999980837107,706.6500000357628,,,,
42,42,Llama 3.2 3B Instruct,zero-shot,false,50556.80001091957,5211.249999925494,3428.639999749139,69.51999819278717,,,,
43,43,Llama 3.2 3B Instruct,zero-shot,false,3300.5,89.2500024586916,96.49999894201756,536.7999992370605,0.0,0.0,0.0,0.0
44,44,Llama 3.2 3B Instruct,zero-shot,false,4290.800005435944,205.55000007525086,194.45999886840582,442.84000045992434,,,,
45,45,Llama 3.2 3B Instruct,zero-shot,false,562.7000122070312,19.540000200271606,19.519999980926514,84.20000040531158,0.0,0.0,0.0,0.0
46,46,Llama 3.2 3B Instruct,zero-shot,false,6272.900017738342,150.14000002667308,162.13000022247434,1078.900000333786,,,,
47,47,Llama 3.2 3B Instruct,zero-shot,false,669.2000045776367,10.679999977350235,8.46000000089407,156.5,250.8,3.6,2.6,55.9
48,48,Llama 3.2 3B Instruct,zero-shot,false,950.00000166893,16.310000024735928,7.62999995611608,215.2800000011921,550.0,14.1,6.1,64.8
49,49,Llama 3.2 3B Instruct,zero-shot,false,932.0999994277954,47.1800000667572,66.24999979138374,44.01000061631203,,,,
50,50,Llama 3.2 3B Instruct,zero-shot,false,1531.1000008583069,16.31000006198883,67.02000000141561,236.96000039577484,,,,
51,1,Llama 3.2 3B Instruct,few-shot,false,544.4000000953674,28.239999897778034,14.849999971687794,73.72999906539917,341.0,24.1,24.5,20.7
52,2,Llama 3.2 3B Instruct,few-shot,false,8082.799968719482,219.04000005126,107.9800009727478,1526.2300002872944,384.0,6.5,24.9,44.1
53,3,Llama 3.2 3B Instruct,few-shot,false,450.699999332428,28.399999890476465,3.900000035762787,87.39000087976456,341.0,14.1,33.5,4.7
54,4,Llama 3.2 3B Instruct,few-shot,false,2557.1000022888184,126.38999999314547,75.18999978713691,345.8999995291233,542.0,37.3,63.9,44.1
55,5,Llama 3.2 3B Instruct,few-shot,false,1896.2999992370605,65.6999998986721,28.510000048205256,338.8499997854233,542.0,34.5,63.4,24.1
56,6,Llama 3.2 3B Instruct,few-shot,false,1327.400007724762,91.18999999761581,60.900000005960464,119.91999989748001,234.0,9.1,24.5,10.7
57,7,Llama 3.2 3B Instruct,few-shot,false,1093.2000122070312,11.199999988079071,53.05000000074506,145.94999885559082,1111.0,20.3,80.9,120.1
58,8,Llama 3.2 3B Instruct,few-shot,false,1783.7000031471252,73.54999992996454,58.36999977566302,272.4999993443489,,,,
59,9,Llama 3.2 3B Instruct,few-shot,false,1290.5000038146973,9.710000112652779,4.190000012516975,311.50000190734863,432.0,7.8,24.8,64.1
60,10,Llama 3.2 3B Instruct,few-shot,false,657.5000112056732,11.090000063180923,44.40999961644411,64.35000056959689,,,,
61,11,Llama 3.2 3B Instruct,few-shot,false,1017.3000030517578,49.0500009059906,38.89999967813492,125.5,234.0,3.5,10.4,40.7
62,12,Llama 3.2 3B Instruct,few-shot,false,1899.2000045776367,43.02999997884035,143.230000032112,134.70999917387962,341.0,6.3,24.9,34.1
63,13,Llama 3.2 3B Instruct,few-shot,false,4149.800009727478,98.50999999977648,145.8600003812462,619.4499995708466,542.0,23.5,44.8,74.1
64,14,Llama 3.2 3B Instruct,few-shot,false,1024.6000020503998,33.650000400841236,14.209999959915876,191.51999926567078,542.0,10.8,46.8,74.1
65,15,Llama 3.2 3B Instruct,few-shot,false,78188.99999809265,1158.0400000009686,2607.309999236837,13131.669999975711,,,,
66,16,Llama 3.2 3B Instruct,few-shot,false,16646.6997756958,87.65999918617308,1537.6199998203665,670.2399999592453,234.0,2.6,10.4,44.9
67,17,Llama 3.2 3B Instruct,few-shot,false,945.2999966144562,11.690000101923943,3.1400000397115946,231.60000053048134,1049.0,43.8,93.4,134.7
68,18,Llama 3.2 3B Instruct,few-shot,false,149153.60000145435,5262.709999926388,632.4900000095367,30058.11000019312,341.0,7.3,20.4,43.9
69,19,Llama 3.2 3B Instruct,few-shot,false,4526.200004577637,119.94999994337559,60.779999017715454,850.7699993941933,434.9,12.2,17.4,58.1
70,20,Llama 3.2 3B Instruct,few-shot,false,1969.4000005722046,61.220000348985195,28.80000004172325,358.5499994009733,542.0,20.6,54.9,74.1
71,21,Llama 3.2 3B Instruct,few-shot,false,4713.30001449585,136.6499999910593,78.19000017642975,843.0299996230751,341.0,7.8,17.4,44.9
72,22,Llama 3.2 3B Instruct,few-shot,false,738.9000034332275,21.330000068992376,6.540000203996897,154.56000113487244,542.0,34.5,43.9,64.1
73,23,Llama 3.2 3B Instruct,few-shot,false,536.8000018596649,46.01000007241964,8.5500000808388,82.88000102341175,542.0,34.5,54.9,24.1
74,24,Llama 3.2 3B Instruct,few-shot,false,2855.800003051758,31.21999990940094,184.55000019073486,305.2200000882149,540.0,9.8,71.7,62.2
75,25,Llama 3.2 3B Instruct,few-shot,false,793.6999994516373,92.01999977976084,9.619999911636114,91.58999973535538,542.0,34.5,44.9,24.1
76,26,Llama 3.2 3B Instruct,few-shot,false,2396.7999963760376,36.449999989941716,21.739999629557133,517.5799998734146,432.0,3.5,40.4,56.1
77,27,Llama 3.2 3B Instruct,few-shot,false,383.0999994277954,28.789999950677156,10.87999982573092,55.340000450611115,442.0,24.9,43.9,10.7
78,28,Llama 3.2 3B Instruct,few-shot,false,3348.600016117096,58.88000035658479,128.25000002607703,547.6900000665337,,,,
79,29,Llama 3.2 3B Instruct,few-shot,false,1745.7999930381775,66.85000034421682,109.60000000707805,167.2600005865097,542.0,34.5,54.9,24.1
80,30,Llama 3.2 3B Instruct,few-shot,false,286.5,6.319999933242798,11.959999978542328,38.69999980926514,548.0,22.6,48.4,70.1
81,31,Llama 3.2 3B Instruct,few-shot,false,641.1000003814697,30.079999938607216,39.259998835623264,46.11999953724444,542.0,23.5,43.9,64.1
82,32,Llama 3.2 3B Instruct,few-shot,false,2140.499987602234,39.89999979548156,37.74999912455678,412.5999998729676,542.0,20.8,54.1,74.9
83,33,Llama 3.2 3B Instruct,few-shot,false,1062.4000000953674,133.67000080272555,18.879999917000532,87.75000101327896,542.0,23.5,44.9,64.1
84,34,Llama 3.2 3B Instruct,few-shot,false,1658.6000006198883,35.28000021725893,115.31000000052154,160.4299996495247,,,,
85,35,Llama 3.2 3B Instruct,few-shot,false,2489.699987411499,75.89999986626208,149.42999995686114,215.8699995279312,432.0,14.9,43.4,56.1
86,36,Llama 3.2 3B Instruct,few-shot,false,1736.5999999046326,11.369999960064888,1.5900000035762787,464.85000072419643,160.0,2.3,0.0,40.0
87,37,Llama 3.2 3B Instruct,few-shot,false,698.7999992370605,22.939999997615814,37.740000028163195,85.1699989438057,542.0,34.9,54.9,24.1
88,38,Llama 3.2 3B Instruct,few-shot,false,518.1000008583069,34.12999998033047,15.250000020489097,67.49000066518784,542.0,37.8,54.9,24.1
89,39,Llama 3.2 3B Instruct,few-shot,false,4191.699996471405,116.25999984145164,17.37999999895692,877.9400005936623,1049.0,20.9,56.4,144.7
90,40,Llama 3.2 3B Instruct,few-shot,false,2192.099998474121,109.46999964118004,151.75999958999455,137.2499982714653,542.0,24.6,54.9,64.1
91,41,Llama 3.2 3B Instruct,few-shot,false,4663.299999952316,185.49999967217445,127.98999980837107,706.6500000357628,434.0,14.9,43.9,24.1
92,42,Llama 3.2 3B Instruct,few-shot,false,50556.80001091957,5211.249999925494,3428.639999749139,69.51999819278717,542.0,14.5,44.9,43.1
93,43,Llama 3.2 3B Instruct,few-shot,false,3300.5,89.2500024586916,96.49999894201756,536.7999992370605,391.0,12.6,37.5,0.7
94,44,Llama 3.2 3B Instruct,few-shot,false,4290.800005435944,205.55000007525086,194.45999886840582,442.84000045992434,,,,
95,45,Llama 3.2 3B Instruct,few-shot,false,562.7000122070312,19.540000200271606,19.519999980926514,84.20000040531158,341.0,8.5,26.4,34.1
96,46,Llama 3.2 3B Instruct,few-shot,false,6272.900017738342,150.14000002667308,162.13000022247434,1078.900000333786,542.0,14.3,54.1,64.7
97,47,Llama 3.2 3B Instruct,few-shot,false,669.2000045776367,10.679999977350235,8.46000000089407,156.5,234.0,2.5,10.4,51.1
98,48,Llama 3.2 3B Instruct,few-shot,false,950.00000166893,16.310000024735928,7.62999995611608,215.2800000011921,341.0,7.3,10.4,54.1
99,49,Llama 3.2 3B Instruct,few-shot,false,932.0999994277954,47.1800000667572,66.24999979138374,44.01000061631203,542.0,24.5,63.4,34.1
100,50,Llama 3.2 3B Instruct,few-shot,false,1531.1000008583069,16.31000006198883,67.02000000141561,236.96000039577484,234.0,2.5,10.4,44.1
101,1,Llama 3.2 3B Instruct,chain-of-thought,false,544.4000000953674,28.239999897778034,14.849999971687794,73.72999906539917,420.0,32.0,3.5,122.0
102,2,Llama 3.2 3B Instruct,chain-of-thought,false,8082.799968719482,219.04000005126,107.9800009727478,1526.2300002872944,720.0,29.6,37.6,84.5
103,3,Llama 3.2 3B Instruct,chain-of-thought,false,450.699999332428,28.399999890476465,3.900000035762787,87.39000087976456,,,,
104,4,Llama 3.2 3B Instruct,chain-of-thought,false,2557.1000022888184,126.38999999314547,75.18999978713691,345.8999995291233,,,,
105,5,Llama 3.2 3B Instruct,chain-of-thought,false,1896.2999992370605,65.6999998986721,28.510000048205256,338.8499997854233,,,,
106,6,Llama 3.2 3B Instruct,chain-of-thought,false,1327.400007724762,91.18999999761581,60.900000005960464,119.91999989748001,,,,
107,7,Llama 3.2 3B Instruct,chain-of-thought,false,1093.2000122070312,11.199999988079071,53.05000000074506,145.94999885559082,260.0,2.0,11.5,45.0
108,8,Llama 3.2 3B Instruct,chain-of-thought,false,1783.7000031471252,73.54999992996454,58.36999977566302,272.4999993443489,,,,
109,9,Llama 3.2 3B Instruct,chain-of-thought,false,1290.5000038146973,9.710000112652779,4.190000012516975,311.50000190734863,600.0,4.5,0.7,147.9
110,10,Llama 3.2 3B Instruct,chain-of-thought,false,657.5000112056732,11.090000063180923,44.40999961644411,64.35000056959689,,,,
111,11,Llama 3.2 3B Instruct,chain-of-thought,false,1017.3000030517578,49.0500009059906,38.89999967813492,125.5,5100.0,18.5,109.5,151.0
112,12,Llama 3.2 3B Instruct,chain-of-thought,false,1899.2000045776367,43.02999997884035,143.230000032112,134.70999917387962,,,,
113,13,Llama 3.2 3B Instruct,chain-of-thought,false,4149.800009727478,98.50999999977648,145.8600003812462,619.4499995708466,,,,
114,14,Llama 3.2 3B Instruct,chain-of-thought,false,1024.6000020503998,33.650000400841236,14.209999959915876,191.51999926567078,182900.0,6.5,47.0,14794.8
115,15,Llama 3.2 3B Instruct,chain-of-thought,false,78188.99999809265,1158.0400000009686,2607.309999236837,13131.669999975711,,,,
116,16,Llama 3.2 3B Instruct,chain-of-thought,false,16646.6997756958,87.65999918617308,1537.6199998203665,670.2399999592453,,,,
117,17,Llama 3.2 3B Instruct,chain-of-thought,false,945.2999966144562,11.690000101923943,3.1400000397115946,231.60000053048134,,,,
118,18,Llama 3.2 3B Instruct,chain-of-thought,false,149153.60000145435,5262.709999926388,632.4900000095367,30058.11000019312,,,,
119,19,Llama 3.2 3B Instruct,chain-of-thought,false,4526.200004577637,119.94999994337559,60.779999017715454,850.7699993941933,,,,
120,20,Llama 3.2 3B Instruct,chain-of-thought,false,1969.4000005722046,61.220000348985195,28.80000004172325,358.5499994009733,,,,
121,21,Llama 3.2 3B Instruct,chain-of-thought,false,4713.30001449585,136.6499999910593,78.19000017642975,843.0299996230751,,,,
122,22,Llama 3.2 3B Instruct,chain-of-thought,false,738.9000034332275,21.330000068992376,6.540000203996897,154.56000113487244,,,,
123,23,Llama 3.2 3B Instruct,chain-of-thought,false,536.8000018596649,46.01000007241964,8.5500000808388,82.88000102341175,,,,
124,24,Llama 3.2 3B Instruct,chain-of-thought,false,2855.800003051758,31.21999990940094,184.55000019073486,305.2200000882149,275.0,3.5,25.5,25.0
125,25,Llama 3.2 3B Instruct,chain-of-thought,false,793.6999994516373,92.01999977976084,9.619999911636114,91.58999973535538,,,,
126,26,Llama 3.2 3B Instruct,chain-of-thought,false,2396.7999963760376,36.449999989941716,21.739999629557133,517.5799998734146,,,,
127,27,Llama 3.2 3B Instruct,chain-of-thought,false,383.0999994277954,28.789999950677156,10.87999982573092,55.340000450611115,,,,
128,28,Llama 3.2 3B Instruct,chain-of-thought,false,3348.600016117096,58.88000035658479,128.25000002607703,547.6900000665337,,,,
129,29,Llama 3.2 3B Instruct,chain-of-thought,false,1745.7999930381775,66.85000034421682,109.60000000707805,167.2600005865097,,,,
130,30,Llama 3.2 3B Instruct,chain-of-thought,false,286.5,6.319999933242798,11.959999978542328,38.69999980926514,10330.0,15.0,578.5,115.0
131,31,Llama 3.2 3B Instruct,chain-of-thought,false,641.1000003814697,30.079999938607216,39.259998835623264,46.11999953724444,20650.0,30.8,22.6,787.2
132,32,Llama 3.2 3B Instruct,chain-of-thought,false,2140.499987602234,39.89999979548156,37.74999912455678,412.5999998729676,,,,
133,33,Llama 3.2 3B Instruct,chain-of-thought,false,1062.4000000953674,133.67000080272555,18.879999917000532,87.75000101327896,,,,
134,34,Llama 3.2 3B Instruct,chain-of-thought,false,1658.6000006198883,35.28000021725893,115.31000000052154,160.4299996495247,,,,
135,35,Llama 3.2 3B Instruct,chain-of-thought,false,2489.699987411499,75.89999986626208,149.42999995686114,215.8699995279312,57002.0,2180.0,5070.0,3540.0
136,36,Llama 3.2 3B Instruct,chain-of-thought,false,1736.5999999046326,11.369999960064888,1.5900000035762787,464.85000072419643,245.0,5.0,0.0,59.0
137,37,Llama 3.2 3B Instruct,chain-of-thought,false,698.7999992370605,22.939999997615814,37.740000028163195,85.1699989438057,,,,
138,38,Llama 3.2 3B Instruct,chain-of-thought,false,518.1000008583069,34.12999998033047,15.250000020489097,67.49000066518784,,,,
139,39,Llama 3.2 3B Instruct,chain-of-thought,false,4191.699996471405,116.25999984145164,17.37999999895692,877.9400005936623,,,,
140,40,Llama 3.2 3B Instruct,chain-of-thought,false,2192.099998474121,109.46999964118004,151.75999958999455,137.2499982714653,968.0,77.0,65.9,84.0
141,41,Llama 3.2 3B Instruct,chain-of-thought,false,4663.299999952316,185.49999967217445,127.98999980837107,706.6500000357628,,,,
142,42,Llama 3.2 3B Instruct,chain-of-thought,false,50556.80001091957,5211.249999925494,3428.639999749139,69.51999819278717,,,,
143,43,Llama 3.2 3B Instruct,chain-of-thought,false,3300.5,89.2500024586916,96.49999894201756,536.7999992370605,,,,
144,44,Llama 3.2 3B Instruct,chain-of-thought,false,4290.800005435944,205.55000007525086,194.45999886840582,442.84000045992434,,,,
145,45,Llama 3.2 3B Instruct,chain-of-thought,false,562.7000122070312,19.540000200271606,19.519999980926514,84.20000040531158,605.0,16.0,47.5,81.6
146,46,Llama 3.2 3B Instruct,chain-of-thought,false,6272.900017738342,150.14000002667308,162.13000022247434,1078.900000333786,,,,
147,47,Llama 3.2 3B Instruct,chain-of-thought,false,669.2000045776367,10.679999977350235,8.46000000089407,156.5,1120.0,31.0,98.5,167.0
148,48,Llama 3.2 3B Instruct,chain-of-thought,false,950.00000166893,16.310000024735928,7.62999995611608,215.2800000011921,,,,
149,49,Llama 3.2 3B Instruct,chain-of-thought,false,932.0999994277954,47.1800000667572,66.24999979138374,44.01000061631203,,,,
150,50,Llama 3.2 3B Instruct,chain-of-thought,false,1531.1000008583069,16.31000006198883,67.02000000141561,236.96000039577484,65525.0,4.0,573.75,39.0
151,1,Llama 3.2 3B Instruct,structured-output,false,544.4000000953674,28.239999897778034,14.849999971687794,73.72999906539917,720.8,56.3,43.2,54.4
152,2,Llama 3.2 3B Instruct,structured-output,false,8082.799968719482,219.04000005126,107.9800009727478,1526.2300002872944,542.8,15.7,41.3,49.2
153,3,Llama 3.2 3B Instruct,structured-output,false,450.699999332428,28.399999890476465,3.900000035762787,87.39000087976456,1508.2,4.2,9.2,12.1
154,4,Llama 3.2 3B Instruct,structured-output,false,2557.1000022888184,126.38999999314547,75.18999978713691,345.8999995291233,1042.8,58.8,62.7,81.1
155,5,Llama 3.2 3B Instruct,structured-output,false,1896.2999992370605,65.6999998986721,28.510000048205256,338.8499997854233,,,,
156,6,Llama 3.2 3B Instruct,structured-output,false,1327.400007724762,91.18999999761581,60.900000005960464,119.91999989748001,234.1,15.3,13.4,24.9
157,7,Llama 3.2 3B Instruct,structured-output,false,1093.2000122070312,11.199999988079071,53.05000000074506,145.94999885559082,490.0,9.0,27.0,90.0
158,8,Llama 3.2 3B Instruct,structured-output,false,1783.7000031471252,73.54999992996454,58.36999977566302,272.4999993443489,1440.8,93.3,93.3,124.1
159,9,Llama 3.2 3B Instruct,structured-output,false,1290.5000038146973,9.710000112652779,4.190000012516975,311.50000190734863,261.8,4.6,15.6,42.4
160,10,Llama 3.2 3B Instruct,structured-output,false,657.5000112056732,11.090000063180923,44.40999961644411,64.35000056959689,,,,
161,11,Llama 3.2 3B Instruct,structured-output,false,1017.3000030517578,49.0500009059906,38.89999967813492,125.5,720.0,10.0,40.0,80.0
162,12,Llama 3.2 3B Instruct,structured-output,false,1899.2000045776367,43.02999997884035,143.230000032112,134.70999917387962,3128.0,36.4,193.2,384.5
163,13,Llama 3.2 3B Instruct,structured-output,false,4149.800009727478,98.50999999977648,145.8600003812462,619.4499995708466,,,,
164,14,Llama 3.2 3B Instruct,structured-output,false,1024.6000020503998,33.650000400841236,14.209999959915876,191.51999926567078,,,,
165,15,Llama 3.2 3B Instruct,structured-output,false,78188.99999809265,1158.0400000009686,2607.309999236837,13131.669999975711,1972.0,16.4,234.6,768.9
166,16,Llama 3.2 3B Instruct,structured-output,false,16646.6997756958,87.65999918617308,1537.6199998203665,670.2399999592453,220.1,4.2,4.5,40.3
167,17,Llama 3.2 3B Instruct,structured-output,false,945.2999966144562,11.690000101923943,3.1400000397115946,231.60000053048134,2501.8,342.1,143.3,283.5
168,18,Llama 3.2 3B Instruct,structured-output,false,149153.60000145435,5262.709999926388,632.4900000095367,30058.11000019312,,,,
169,19,Llama 3.2 3B Instruct,structured-output,false,4526.200004577637,119.94999994337559,60.779999017715454,850.7699993941933,,,,
170,20,Llama 3.2 3B Instruct,structured-output,false,1969.4000005722046,61.220000348985195,28.80000004172325,358.5499994009733,,,,
171,21,Llama 3.2 3B Instruct,structured-output,false,4713.30001449585,136.6499999910593,78.19000017642975,843.0299996230751,,,,
172,22,Llama 3.2 3B Instruct,structured-output,false,738.9000034332275,21.330000068992376,6.540000203996897,154.56000113487244,240.8,15.9,10.3,24.5
173,23,Llama 3.2 3B Instruct,structured-output,false,536.8000018596649,46.01000007241964,8.5500000808388,82.88000102341175,,,,
174,24,Llama 3.2 3B Instruct,structured-output,false,2855.800003051758,31.21999990940094,184.55000019073486,305.2200000882149,1920.0,16.0,144.0,252.0
175,25,Llama 3.2 3B Instruct,structured-output,false,793.6999994516373,92.01999977976084,9.619999911636114,91.58999973535538,,,,
176,26,Llama 3.2 3B Instruct,structured-output,false,2396.7999963760376,36.449999989941716,21.739999629557133,517.5799998734146,,,,
177,27,Llama 3.2 3B Instruct,structured-output,false,383.0999994277954,28.789999950677156,10.87999982573092,55.340000450611115,1032.8,48.9,62.3,82.1
178,28,Llama 3.2 3B Instruct,structured-output,false,3348.600016117096,58.88000035658479,128.25000002607703,547.6900000665337,1241.8,24.1,74.1,173.9
179,29,Llama 3.2 3B Instruct,structured-output,false,1745.7999930381775,66.85000034421682,109.60000000707805,167.2600005865097,1622.8,114.7,123.1,64.9
180,30,Llama 3.2 3B Instruct,structured-output,false,286.5,6.319999933242798,11.959999978542328,38.69999980926514,300.0,7.0,12.0,50.0
181,31,Llama 3.2 3B Instruct,structured-output,false,641.1000003814697,30.079999938607216,39.259998835623264,46.11999953724444,1231.8,41.6,112.3,104.8
182,32,Llama 3.2 3B Instruct,structured-output,false,2140.499987602234,39.89999979548156,37.74999912455678,412.5999998729676,1042.8,20.1,101.2,143.4
183,33,Llama 3.2 3B Instruct,structured-output,false,1062.4000000953674,133.67000080272555,18.879999917000532,87.75000101327896,840.0,48.2,54.5,44.0
184,34,Llama 3.2 3B Instruct,structured-output,false,1658.6000006198883,35.28000021725893,115.31000000052154,160.4299996495247,,,,
185,35,Llama 3.2 3B Instruct,structured-output,false,2489.699987411499,75.89999986626208,149.42999995686114,215.8699995279312,3208.8,44.2,179.3,446.1
186,36,Llama 3.2 3B Instruct,structured-output,false,1736.5999999046326,11.369999960064888,1.5900000035762787,464.85000072419643,360.0,2.5,3.5,60.0
187,37,Llama 3.2 3B Instruct,structured-output,false,698.7999992370605,22.939999997615814,37.740000028163195,85.1699989438057,,,,
188,38,Llama 3.2 3B Instruct,structured-output,false,518.1000008583069,34.12999998033047,15.250000020489097,67.49000066518784,420.8,31.4,24.3,26.5
189,39,Llama 3.2 3B Instruct,structured-output,false,4191.699996471405,116.25999984145164,17.37999999895692,877.9400005936623,,,,
190,40,Llama 3.2 3B Instruct,structured-output,false,2192.099998474121,109.46999964118004,151.75999958999455,137.2499982714653,,,,
191,41,Llama 3.2 3B Instruct,structured-output,false,4663.299999952316,185.49999967217445,127.98999980837107,706.6500000357628,,,,
192,42,Llama 3.2 3B Instruct,structured-output,false,50556.80001091957,5211.249999925494,3428.639999749139,69.51999819278717,1349.2,114.5,74.4,93.9
193,43,Llama 3.2 3B Instruct,structured-output,false,3300.5,89.2500024586916,96.49999894201756,536.7999992370605,,,,
194,44,Llama 3.2 3B Instruct,structured-output,false,4290.800005435944,205.55000007525086,194.45999886840582,442.84000045992434,1596.4,64.5,93.8,143.6
195,45,Llama 3.2 3B Instruct,structured-output,false,562.7000122070312,19.540000200271606,19.519999980926514,84.20000040531158,1021.8,30.1,104.4,81.3
