experiment_id,video_id,model_name,technique_name,rag_enabled,gt_energy_kcal,gt_protein_g,gt_fat_g,gt_carbohydrate_g,pred_energy_kcal,pred_protein_g,pred_fat_g,pred_carbohydrate_g
3,3,Llama 3.2 3B Instruct,zero-shot,false,37.2,1.6,0.12,8.25,10.0,1.0,0.5,2.0
3,3,Llama 3.2 3B Instruct,zero-shot,false,,,,,15.0,1.5,1.5,2.0
3,3,Llama 3.2 3B Instruct,zero-shot,false,7.6,0.21,0.04,1.65,100.0,5.0,10.0,15.0
3,3,Llama 3.2 3B Instruct,zero-shot,false,5.2,0.76,0.0,0.54,150.0,15.0,15.0,10.0
6,6,Llama 3.2 3B Instruct,zero-shot,false,,,,,100.0,15.3,2.5,10.4
6,6,Llama 3.2 3B Instruct,zero-shot,false,200.0,9.5,2.0,44.0,4.8,0.6,0.1,1.3
6,6,Llama 3.2 3B Instruct,zero-shot,false,,,,,1.8,0.3,0.0,0.4
6,6,Llama 3.2 3B Instruct,zero-shot,false,18.0,0.9,0.2,3.9,18.8,1.2,0.2,4.6
6,6,Llama 3.2 3B Instruct,zero-shot,false,37.2,1.6,0.12,8.25,4.8,0.6,0.1,1.3
6,6,Llama 3.2 3B Instruct,zero-shot,false,92.5,2.0,0.5,23.25,4.8,0.6,0.1,1.3
6,6,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,0.3,0.0,0.4
7,7,Llama 3.2 3B Instruct,zero-shot,false,,,,,140.0,0.0,0.0,36.0
7,7,Llama 3.2 3B Instruct,zero-shot,false,,,,,50.0,1.0,3.5,12.0
7,7,Llama 3.2 3B Instruct,zero-shot,false,,,,,100.0,2.0,2.0,20.0
8,8,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,0.0,0.0,0.0
8,8,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,0.0,0.0,0.0
8,8,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,0.0,0.0,0.0
8,8,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,0.0,0.0,0.0
8,8,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,0.0,0.0,0.0
8,8,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,0.0,0.0,0.0
8,8,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,0.0,0.0,0.0
8,8,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,0.0,0.0,0.0
8,8,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,0.0,0.0,0.0
8,8,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,0.0,0.0,0.0
8,8,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,0.0,0.0,0.0
8,8,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,0.0,0.0,0.0
8,8,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,0.0,0.0,0.0
8,8,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,0.0,0.0,0.0
8,8,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,0.0,0.0,0.0
8,8,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,0.0,0.0,0.0
8,8,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,0.0,0.0,0.0
8,8,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,0.0,0.0,0.0
8,8,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,0.0,0.0,0.0
9,9,Llama 3.2 3B Instruct,zero-shot,false,106.8,1.32,0.36,27.6,105.0,1.3,0.3,26.9
9,9,Llama 3.2 3B Instruct,zero-shot,false,222.5,2.75,0.75,57.5,105.0,1.3,0.3,26.9
9,9,Llama 3.2 3B Instruct,zero-shot,false,225.0,0.0,0.0,56.4,375.0,0.0,0.0,90.9
9,9,Llama 3.2 3B Instruct,zero-shot,false,332.0,0.2,0.2,83.0,100.0,2.0,0.0,25.0
9,9,Llama 3.2 3B Instruct,zero-shot,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
9,9,Llama 3.2 3B Instruct,zero-shot,false,40.2,2.04,2.28,3.0,50.0,3.2,3.5,6.7
11,11,Llama 3.2 3B Instruct,zero-shot,false,536.0,27.2,30.4,40.0,360.0,3.5,36.0,4.0
11,11,Llama 3.2 3B Instruct,zero-shot,false,210.0,17.0,5.0,25.0,170.0,3.5,17.0,4.0
11,11,Llama 3.2 3B Instruct,zero-shot,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11,11,Llama 3.2 3B Instruct,zero-shot,false,96.3,2.4,2.7,16.5,240.0,2.5,24.0,36.0
11,11,Llama 3.2 3B Instruct,zero-shot,false,13.0,0.25,0.0,3.5,0.0,0.0,0.0,2.0
11,11,Llama 3.2 3B Instruct,zero-shot,false,30.0,0.6,0.0,6.5,60.0,1.5,0.5,15.0
13,13,Llama 3.2 3B Instruct,zero-shot,false,,,,,110.0,3.5,2.5,25.0
13,13,Llama 3.2 3B Instruct,zero-shot,false,,,,,40.0,1.5,0.5,9.0
13,13,Llama 3.2 3B Instruct,zero-shot,false,,,,,10.0,0.5,0.2,2.5
13,13,Llama 3.2 3B Instruct,zero-shot,false,,,,,100.0,15.0,10.0,0.0
13,13,Llama 3.2 3B Instruct,zero-shot,false,,,,,5.0,0.5,0.1,1.5
13,13,Llama 3.2 3B Instruct,zero-shot,false,,,,,50.0,1.5,0.5,12.0
13,13,Llama 3.2 3B Instruct,zero-shot,false,,,,,100.0,1.5,2.5,20.0
13,13,Llama 3.2 3B Instruct,zero-shot,false,,,,,50.0,1.5,0.5,12.0
13,13,Llama 3.2 3B Instruct,zero-shot,false,,,,,5.0,0.5,0.1,1.5
13,13,Llama 3.2 3B Instruct,zero-shot,false,,,,,150.0,15.0,15.0,10.0
13,13,Llama 3.2 3B Instruct,zero-shot,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
13,13,Llama 3.2 3B Instruct,zero-shot,false,,,,,50.0,5.0,5.0,10.0
13,13,Llama 3.2 3B Instruct,zero-shot,false,,,,,20.0,2.5,0.5,3.0
13,13,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,0.5,0.0,1.0
16,16,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,1.0,0.0,4.0
16,16,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,0.5,0.0,2.0
16,16,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,0.25,0.0,1.0
16,16,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,1.0,0.0,4.0
16,16,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,0.5,0.0,2.0
16,16,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,0.25,0.0,1.0
16,16,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,1.0,0.0,4.0
16,16,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,0.5,0.0,2.0
16,16,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,0.25,0.0,1.0
17,17,Llama 3.2 3B Instruct,zero-shot,false,,,,,200.0,30.0,20.0,0.0
17,17,Llama 3.2 3B Instruct,zero-shot,false,,,,,350.0,12.0,10.0,70.0
17,17,Llama 3.2 3B Instruct,zero-shot,false,,,,,25.0,1.0,0.0,6.0
17,17,Llama 3.2 3B Instruct,zero-shot,false,,,,,10.0,0.5,0.0,2.0
17,17,Llama 3.2 3B Instruct,zero-shot,false,,,,,,,,
17,17,Llama 3.2 3B Instruct,zero-shot,false,,,,,100.0,2.0,0.0,25.0
17,17,Llama 3.2 3B Instruct,zero-shot,false,,,,,150.0,2.0,10.0,25.0
17,17,Llama 3.2 3B Instruct,zero-shot,false,,,,,100.0,1.0,0.0,25.0
17,17,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,0.25,0.0,1.0
17,17,Llama 3.2 3B Instruct,zero-shot,false,,,,,10.0,1.0,0.5,2.0
17,17,Llama 3.2 3B Instruct,zero-shot,false,,,,,50.0,1.0,4.0,6.0
17,17,Llama 3.2 3B Instruct,zero-shot,false,,,,,10.0,0.25,0.0,2.0
19,19,Llama 3.2 3B Instruct,zero-shot,false,,,,,40.0,1.3,0.0,9.8
19,19,Llama 3.2 3B Instruct,zero-shot,false,,,,,10.0,0.8,0.0,2.5
19,19,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,0.8,0.0,2.5
19,19,Llama 3.2 3B Instruct,zero-shot,false,,,,,100.0,5.8,3.5,0.0
19,19,Llama 3.2 3B Instruct,zero-shot,false,3640.0,100.0,10.0,760.0,60.0,4.1,1.2,12.5
19,19,Llama 3.2 3B Instruct,zero-shot,false,,,,,100.0,5.8,3.5,0.0
19,19,Llama 3.2 3B Instruct,zero-shot,false,0.0,0.0,0.0,0.0,0.0,0.8,0.0,0.0
19,19,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,0.0,0.0,0.0
20,20,Llama 3.2 3B Instruct,zero-shot,false,,,,,550.0,21.0,37.5,64.0
20,20,Llama 3.2 3B Instruct,zero-shot,false,32.0,0.88,0.08,7.44,10.0,0.5,0.5,2.0
20,20,Llama 3.2 3B Instruct,zero-shot,false,,,,,10.0,0.5,0.5,2.0
20,20,Llama 3.2 3B Instruct,zero-shot,false,,,,,10.0,0.5,0.5,2.0
20,20,Llama 3.2 3B Instruct,zero-shot,false,,,,,10.0,0.5,0.5,2.0
20,20,Llama 3.2 3B Instruct,zero-shot,false,,,,,20.0,3.0,1.5,4.0
20,20,Llama 3.2 3B Instruct,zero-shot,false,,,,,50.0,10.0,3.5,0.0
20,20,Llama 3.2 3B Instruct,zero-shot,false,,,,,50.0,1.5,3.5,12.0
20,20,Llama 3.2 3B Instruct,zero-shot,false,,,,,600.0,0.5,36.0,156.0
20,20,Llama 3.2 3B Instruct,zero-shot,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,20,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,0.0,0.0,0.0
22,22,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,20.3,0.0,0.0
22,22,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,20.3,0.0,0.0
22,22,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,20.3,0.0,0.0
22,22,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,20.3,0.0,0.0
22,22,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,20.3,0.0,0.0
22,22,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,20.3,0.0,0.0
22,22,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,20.3,0.0,0.0
22,22,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,20.3,0.0,0.0
22,22,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,20.3,0.0,0.0
22,22,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,20.3,0.0,0.0
22,22,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,20.3,0.0,0.0
22,22,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,20.3,0.0,0.0
22,22,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,20.3,0.0,0.0
22,22,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,20.3,0.0,0.0
22,22,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,20.3,0.0,0.0
22,22,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,20.3,0.0,0.0
22,22,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,20.3,0.0,0.0
22,22,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,20.3,0.0,0.0
22,22,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,20.3,0.0,0.0
22,22,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,,0.0,
23,23,Llama 3.2 3B Instruct,zero-shot,false,99.0,24.0,0.3,0.2,120.0,19.0,2.5,0.0
23,23,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,0.0,0.0,0.0
23,23,Llama 3.2 3B Instruct,zero-shot,false,39.0,3.0,0.8,6.5,10.0,1.5,0.5,2.5
23,23,Llama 3.2 3B Instruct,zero-shot,false,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,23,Llama 3.2 3B Instruct,zero-shot,false,15.6,0.48,0.17,3.35,0.0,0.0,0.0,0.0
23,23,Llama 3.2 3B Instruct,zero-shot,false,20.0,0.55,0.05,4.65,44.0,1.5,0.5,10.5
23,23,Llama 3.2 3B Instruct,zero-shot,false,37.2,1.6,0.12,8.25,4.0,0.5,0.1,1.0
23,23,Llama 3.2 3B Instruct,zero-shot,false,9.9,0.18,0.05,2.53,10.0,1.0,0.5,2.5
23,23,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,0.0,0.0,6.5
24,24,Llama 3.2 3B Instruct,zero-shot,false,2510.0,27.5,150.0,300.0,1200.0,2.0,100.0,150.0
24,24,Llama 3.2 3B Instruct,zero-shot,false,102.0,0.6,10.8,0.84,1600.0,20.0,40.0,30.0
24,24,Llama 3.2 3B Instruct,zero-shot,false,243.8,3.12,23.75,4.38,1200.0,2.0,100.0,150.0
25,25,Llama 3.2 3B Instruct,zero-shot,false,22.3,0.96,0.07,4.95,4.2,0.3,0.1,1.0
25,25,Llama 3.2 3B Instruct,zero-shot,false,,,,,4.2,0.3,0.1,1.0
25,25,Llama 3.2 3B Instruct,zero-shot,false,20.0,0.55,0.05,4.65,25.6,1.3,0.2,5.8
25,25,Llama 3.2 3B Instruct,zero-shot,false,9.9,0.18,0.05,2.53,15.6,0.5,0.2,3.8
25,25,Llama 3.2 3B Instruct,zero-shot,false,,,,,25.6,1.3,0.2,5.8
25,25,Llama 3.2 3B Instruct,zero-shot,false,120.0,5.7,1.2,26.4,10.8,0.5,0.1,2.4
25,25,Llama 3.2 3B Instruct,zero-shot,false,100.0,20.0,1.3,0.0,100.0,30.0,10.0,0.0
25,25,Llama 3.2 3B Instruct,zero-shot,false,100.0,20.0,1.3,0.0,100.0,30.0,10.0,0.0
25,25,Llama 3.2 3B Instruct,zero-shot,false,9.0,0.45,0.1,1.95,25.6,1.3,0.2,5.8
26,26,Llama 3.2 3B Instruct,zero-shot,false,910.0,25.0,2.5,190.0,1145.4,12.1,19.1,255.9
26,26,Llama 3.2 3B Instruct,zero-shot,false,0.0,0.0,0.0,0.0,0.3,0.2,0.0,0.1
26,26,Llama 3.2 3B Instruct,zero-shot,false,6.2,0.1,0.03,2.02,10.2,0.2,0.1,2.6
26,26,Llama 3.2 3B Instruct,zero-shot,false,4.0,0.0,0.0,2.1,10.2,0.2,0.1,2.6
26,26,Llama 3.2 3B Instruct,zero-shot,false,174.2,0.0,0.0,45.0,1896.0,0.0,0.0,420.6
26,26,Llama 3.2 3B Instruct,zero-shot,false,77.5,6.5,5.5,0.55,140.0,12.1,9.5,0.6
26,26,Llama 3.2 3B Instruct,zero-shot,false,14.4,0.01,0.01,0.65,12.8,0.2,0.1,2.6
26,26,Llama 3.2 3B Instruct,zero-shot,false,,,,,1704.0,3.9,16.1,36.4
26,26,Llama 3.2 3B Instruct,zero-shot,false,107.5,0.14,12.15,0.01,1688.0,0.2,18.4,0.1
26,26,Llama 3.2 3B Instruct,zero-shot,false,78.0,0.45,0.3,21.0,52.8,0.7,0.4,13.3
27,27,Llama 3.2 3B Instruct,zero-shot,false,97.0,20.0,2.0,0.0,120.0,20.0,3.6,0.0
27,27,Llama 3.2 3B Instruct,zero-shot,false,,,,,10.0,0.8,0.2,2.6
27,27,Llama 3.2 3B Instruct,zero-shot,false,8.0,0.18,0.08,1.8,10.0,0.8,0.1,2.6
27,27,Llama 3.2 3B Instruct,zero-shot,false,8.0,0.18,0.08,1.8,10.0,0.8,0.1,2.6
27,27,Llama 3.2 3B Instruct,zero-shot,false,2.3,0.21,0.05,0.37,5.0,0.8,0.1,1.3
27,27,Llama 3.2 3B Instruct,zero-shot,false,,,,,10.0,0.8,0.2,2.6
27,27,Llama 3.2 3B Instruct,zero-shot,false,,,,,10.0,0.8,0.2,2.6
27,27,Llama 3.2 3B Instruct,zero-shot,false,,,,,10.0,0.8,0.2,2.6
27,27,Llama 3.2 3B Instruct,zero-shot,false,,,,,10.0,0.8,0.2,2.6
27,27,Llama 3.2 3B Instruct,zero-shot,false,,,,,10.0,0.8,0.2,2.6
27,27,Llama 3.2 3B Instruct,zero-shot,false,,,,,10.0,0.8,0.2,2.6
27,27,Llama 3.2 3B Instruct,zero-shot,false,,,,,10.0,0.8,0.2,2.6
27,27,Llama 3.2 3B Instruct,zero-shot,false,,,,,10.0,0.8,0.2,2.6
27,27,Llama 3.2 3B Instruct,zero-shot,false,,,,,10.0,0.8,0.2,2.6
27,27,Llama 3.2 3B Instruct,zero-shot,false,,,,,10.0,0.8,0.2,2.6
27,27,Llama 3.2 3B Instruct,zero-shot,false,,,,,10.0,0.8,0.2,2.6
27,27,Llama 3.2 3B Instruct,zero-shot,false,,,,,10.0,0.8,0.2,2.6
27,27,Llama 3.2 3B Instruct,zero-shot,false,,,,,10.0,0.8,0.2,2.6
27,27,Llama 3.2 3B Instruct,zero-shot,false,,,,,,,,
28,28,Llama 3.2 3B Instruct,zero-shot,false,607.5,21.25,38.75,52.5,140.0,2.6,4.5,28.8
28,28,Llama 3.2 3B Instruct,zero-shot,false,,,,,200.0,3.6,20.0,34.8
28,28,Llama 3.2 3B Instruct,zero-shot,false,287.5,2.88,30.0,7.5,100.0,1.2,11.0,18.8
28,28,Llama 3.2 3B Instruct,zero-shot,false,107.5,0.14,12.15,0.01,1900.0,16.3,180.0,64.8
28,28,Llama 3.2 3B Instruct,zero-shot,false,100.4,1.1,6.0,12.0,1050.0,6.3,75.0,120.8
28,28,Llama 3.2 3B Instruct,zero-shot,false,,,,,360.0,7.3,9.0,64.8
28,28,Llama 3.2 3B Instruct,zero-shot,false,60.8,0.06,0.0,16.4,170.0,0.3,0.0,44.8
28,28,Llama 3.2 3B Instruct,zero-shot,false,106.8,1.32,0.36,27.6,105.0,1.2,0.5,26.8
28,28,Llama 3.2 3B Instruct,zero-shot,false,150.6,1.65,7.5,19.5,100.0,1.3,2.0,24.8
28,28,Llama 3.2 3B Instruct,zero-shot,false,107.8,1.26,6.0,12.4,700.0,7.3,60.0,64.8
28,28,Llama 3.2 3B Instruct,zero-shot,false,,,,,25.0,0.8,0.5,6.8
28,28,Llama 3.2 3B Instruct,zero-shot,false,57.0,0.7,0.3,14.0,55.0,1.2,0.5,13.8
28,28,Llama 3.2 3B Instruct,zero-shot,false,100.4,1.1,6.0,12.0,350.0,3.6,25.0,40.8
29,29,Llama 3.2 3B Instruct,zero-shot,false,37.2,1.6,0.12,8.25,4.2,0.3,0.1,1.1
29,29,Llama 3.2 3B Instruct,zero-shot,false,8.0,0.18,0.08,1.8,6.4,0.4,0.1,1.5
29,29,Llama 3.2 3B Instruct,zero-shot,false,4.5,0.1,0.03,0.85,6.4,0.4,0.1,1.5
29,29,Llama 3.2 3B Instruct,zero-shot,false,93.6,2.91,0.99,20.1,2.4,0.2,0.01,0.5
29,29,Llama 3.2 3B Instruct,zero-shot,false,14.9,0.6,0.9,2.75,2.4,0.2,0.01,0.5
29,29,Llama 3.2 3B Instruct,zero-shot,false,18.8,0.9,1.1,2.2,2.4,0.2,0.01,0.5
29,29,Llama 3.2 3B Instruct,zero-shot,false,650.0,8.5,68.0,8.0,34.4,1.5,0.3,9.1
29,29,Llama 3.2 3B Instruct,zero-shot,false,3.6,0.08,0.02,1.32,1.4,0.2,0.01,0.3
29,29,Llama 3.2 3B Instruct,zero-shot,false,202.2,10.8,9.6,30.0,1.4,0.2,0.01,0.3
29,29,Llama 3.2 3B Instruct,zero-shot,false,,,,,6.4,0.4,0.1,1.5
29,29,Llama 3.2 3B Instruct,zero-shot,false,19.8,0.36,0.1,5.06,10.4,1.3,0.1,2.5
29,29,Llama 3.2 3B Instruct,zero-shot,false,,,,,1.4,0.2,0.01,0.3
29,29,Llama 3.2 3B Instruct,zero-shot,false,40.0,1.1,0.1,9.3,25.6,1.4,0.2,5.8
29,29,Llama 3.2 3B Instruct,zero-shot,false,6.0,0.28,0.06,1.32,4.8,0.6,0.01,1.2
29,29,Llama 3.2 3B Instruct,zero-shot,false,239.0,27.0,14.0,0.0,140.4,30.0,6.3,0.0
29,29,Llama 3.2 3B Instruct,zero-shot,false,69.0,0.69,7.2,1.8,50.4,2.5,44.8,6.3
30,30,Llama 3.2 3B Instruct,zero-shot,false,,,,,100.0,2.0,0.5,25.0
30,30,Llama 3.2 3B Instruct,zero-shot,false,,,,,50.0,1.0,0.5,12.0
30,30,Llama 3.2 3B Instruct,zero-shot,false,,,,,50.0,1.0,0.5,12.0
30,30,Llama 3.2 3B Instruct,zero-shot,false,,,,,50.0,1.0,0.5,12.0
31,31,Llama 3.2 3B Instruct,zero-shot,false,29.8,1.28,0.1,6.6,12.0,0.7,0.1,2.8
31,31,Llama 3.2 3B Instruct,zero-shot,false,,,,,10.0,0.7,0.1,2.8
31,31,Llama 3.2 3B Instruct,zero-shot,false,107.5,0.14,12.15,0.01,110.0,0.5,12.0,0.0
31,31,Llama 3.2 3B Instruct,zero-shot,false,,,,,50.0,3.0,5.0,6.0
31,31,Llama 3.2 3B Instruct,zero-shot,false,,,,,20.0,1.0,1.0,3.0
31,31,Llama 3.2 3B Instruct,zero-shot,false,241.8,15.0,19.8,0.78,50.0,5.0,5.0,0.0
31,31,Llama 3.2 3B Instruct,zero-shot,false,,,,,160.0,8.0,2.0,30.0
33,33,Llama 3.2 3B Instruct,zero-shot,false,104.3,4.48,0.35,23.1,12.6,0.3,0.1,2.8
33,33,Llama 3.2 3B Instruct,zero-shot,false,,,,,41.6,1.2,0.1,9.8
33,33,Llama 3.2 3B Instruct,zero-shot,false,224.0,18.0,4.0,26.0,250.0,15.0,15.0,10.0
33,33,Llama 3.2 3B Instruct,zero-shot,false,,,,,1200.0,12.0,2.0,240.0
33,33,Llama 3.2 3B Instruct,zero-shot,false,32.8,0.72,0.16,8.0,60.0,1.2,0.1,14.4
33,33,Llama 3.2 3B Instruct,zero-shot,false,44.2,0.0,5.0,0.0,120.0,0.0,14.0,0.0
33,33,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,0.0,0.0,0.0
35,35,Llama 3.2 3B Instruct,zero-shot,false,483.8,0.0,0.0,125.0,1141.0,0.0,0.0,300.0
35,35,Llama 3.2 3B Instruct,zero-shot,false,159.0,5.64,1.92,29.4,240.0,8.0,1.5,40.0
35,35,Llama 3.2 3B Instruct,zero-shot,false,,,,,3425.0,15.0,340.0,10.0
35,35,Llama 3.2 3B Instruct,zero-shot,false,310.0,26.0,22.0,2.2,140.0,12.0,10.0,1.0
35,35,Llama 3.2 3B Instruct,zero-shot,false,,,,,1800.0,10.0,120.0,150.0
35,35,Llama 3.2 3B Instruct,zero-shot,false,14.4,0.01,0.01,0.65,10.0,0.0,0.0,2.5
36,36,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,1.3,0.0,32.8
36,36,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,1.3,0.0,13.4
36,36,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,1.4,0.0,37.5
36,36,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,0.8,0.0,5.2
36,36,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,0.8,0.0,5.2
36,36,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,0.8,0.0,5.2
36,36,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,0.8,0.0,5.2
36,36,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,0.8,0.0,5.2
36,36,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,0.8,0.0,5.2
36,36,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,0.8,0.0,5.2
36,36,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,0.8,0.0,5.2
36,36,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,0.8,0.0,5.2
36,36,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,0.8,0.0,5.2
36,36,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,0.8,0.0,5.2
36,36,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,0.8,0.0,5.2
36,36,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,0.8,0.0,5.2
36,36,Llama 3.2 3B Instruct,zero-shot,false,,,,,0.0,0.8,0.0,5.2
