experiment_id,video_id,model_name,technique_name,rag_enabled,gt_quantity_value,gt_weight_g,pred_quantity_value,pred_weight_g
3,3,Llama 3.2 3B Instruct,zero-shot,false,,,2.0,30.0
3,3,Llama 3.2 3B Instruct,zero-shot,false,1.0,15.0,2.0,50.0
3,3,Llama 3.2 3B Instruct,zero-shot,false,,15.0,1.0,50.0
6,6,Llama 3.2 3B Instruct,zero-shot,false,,,1.0,120.0
6,6,Llama 3.2 3B Instruct,zero-shot,false,10.0,500.0,10.0,20.0
6,6,Llama 3.2 3B Instruct,zero-shot,false,,,2.0,10.0
6,6,Llama 3.2 3B Instruct,zero-shot,false,,100.0,0.5,60.0
6,6,Llama 3.2 3B Instruct,zero-shot,false,5.0,25.0,5.0,20.0
6,6,Llama 3.2 3B Instruct,zero-shot,false,5.0,250.0,5.0,20.0
6,6,Llama 3.2 3B Instruct,zero-shot,false,,,,2.0
7,7,Llama 3.2 3B Instruct,zero-shot,false,,,2.0,200.0
7,7,Llama 3.2 3B Instruct,zero-shot,false,,,,100.0
7,7,Llama 3.2 3B Instruct,zero-shot,false,,,,50.0
8,8,Llama 3.2 3B Instruct,zero-shot,false,,,4.0,1121.0
8,8,Llama 3.2 3B Instruct,zero-shot,false,,,2.0,20.0
8,8,Llama 3.2 3B Instruct,zero-shot,false,,,1.0,20.0
8,8,Llama 3.2 3B Instruct,zero-shot,false,,,1.0,20.0
8,8,Llama 3.2 3B Instruct,zero-shot,false,,,1.0,20.0
8,8,Llama 3.2 3B Instruct,zero-shot,false,,,1.0,20.0
8,8,Llama 3.2 3B Instruct,zero-shot,false,,,1.0,20.0
8,8,Llama 3.2 3B Instruct,zero-shot,false,,,1.0,20.0
8,8,Llama 3.2 3B Instruct,zero-shot,false,,,1.0,20.0
8,8,Llama 3.2 3B Instruct,zero-shot,false,,,1.0,20.0
8,8,Llama 3.2 3B Instruct,zero-shot,false,,,1.0,20.0
8,8,Llama 3.2 3B Instruct,zero-shot,false,,,1.0,20.0
8,8,Llama 3.2 3B Instruct,zero-shot,false,,,1.0,20.0
8,8,Llama 3.2 3B Instruct,zero-shot,false,,,1.0,20.0
8,8,Llama 3.2 3B Instruct,zero-shot,false,,,1.0,20.0
8,8,Llama 3.2 3B Instruct,zero-shot,false,,,1.0,20.0
8,8,Llama 3.2 3B Instruct,zero-shot,false,,,1.0,20.0
8,8,Llama 3.2 3B Instruct,zero-shot,false,,,1.0,20.0
8,8,Llama 3.2 3B Instruct,zero-shot,false,,,1.0,20.0
9,9,Llama 3.2 3B Instruct,zero-shot,false,5.0,250.0,5.0,120.0
9,9,Llama 3.2 3B Instruct,zero-shot,false,,120.0,5.0,120.0
9,9,Llama 3.2 3B Instruct,zero-shot,false,4.0,60.0,4.0,80.0
9,9,Llama 3.2 3B Instruct,zero-shot,false,,100.0,,50.0
9,9,Llama 3.2 3B Instruct,zero-shot,false,,5.0,,2.0
9,9,Llama 3.2 3B Instruct,zero-shot,false,,30.0,,50.0
11,11,Llama 3.2 3B Instruct,zero-shot,false,1.0,400.0,1.0,750.0
11,11,Llama 3.2 3B Instruct,zero-shot,false,2.0,500.0,2.0,500.0
11,11,Llama 3.2 3B Instruct,zero-shot,false,1.0,250.0,1.0,200.0
11,11,Llama 3.2 3B Instruct,zero-shot,false,,30.0,0.5,300.0
11,11,Llama 3.2 3B Instruct,zero-shot,false,10.0,50.0,10.0,10.0
11,11,Llama 3.2 3B Instruct,zero-shot,false,1.0,50.0,1.0,200.0
13,13,Llama 3.2 3B Instruct,zero-shot,false,,,1.0,200.0
13,13,Llama 3.2 3B Instruct,zero-shot,false,,,2.0,120.0
13,13,Llama 3.2 3B Instruct,zero-shot,false,,,3.0,90.0
13,13,Llama 3.2 3B Instruct,zero-shot,false,,,,50.0
13,13,Llama 3.2 3B Instruct,zero-shot,false,,,1.0,20.0
13,13,Llama 3.2 3B Instruct,zero-shot,false,,,2.0,100.0
13,13,Llama 3.2 3B Instruct,zero-shot,false,,,4.0,200.0
13,13,Llama 3.2 3B Instruct,zero-shot,false,,,2.0,100.0
13,13,Llama 3.2 3B Instruct,zero-shot,false,,,1.0,20.0
13,13,Llama 3.2 3B Instruct,zero-shot,false,,,,50.0
13,13,Llama 3.2 3B Instruct,zero-shot,false,,5.0,,2.0
13,13,Llama 3.2 3B Instruct,zero-shot,false,,,1.0,100.0
13,13,Llama 3.2 3B Instruct,zero-shot,false,,,1.0,50.0
13,13,Llama 3.2 3B Instruct,zero-shot,false,,,2.0,10.0
16,16,Llama 3.2 3B Instruct,zero-shot,false,,,200.0,200.0
16,16,Llama 3.2 3B Instruct,zero-shot,false,,,100.0,100.0
16,16,Llama 3.2 3B Instruct,zero-shot,false,,,50.0,50.0
16,16,Llama 3.2 3B Instruct,zero-shot,false,,,200.0,200.0
16,16,Llama 3.2 3B Instruct,zero-shot,false,,,100.0,100.0
16,16,Llama 3.2 3B Instruct,zero-shot,false,,,50.0,50.0
16,16,Llama 3.2 3B Instruct,zero-shot,false,,,200.0,200.0
16,16,Llama 3.2 3B Instruct,zero-shot,false,,,100.0,100.0
16,16,Llama 3.2 3B Instruct,zero-shot,false,,,50.0,50.0
17,17,Llama 3.2 3B Instruct,zero-shot,false,,,400.0,400.0
17,17,Llama 3.2 3B Instruct,zero-shot,false,,,400.0,400.0
17,17,Llama 3.2 3B Instruct,zero-shot,false,,,3.0,45.0
17,17,Llama 3.2 3B Instruct,zero-shot,false,,,6.0,90.0
17,17,Llama 3.2 3B Instruct,zero-shot,false,,,,
17,17,Llama 3.2 3B Instruct,zero-shot,false,,,3.0,30.0
17,17,Llama 3.2 3B Instruct,zero-shot,false,,,2.0,20.0
17,17,Llama 3.2 3B Instruct,zero-shot,false,,,2.0,20.0
17,17,Llama 3.2 3B Instruct,zero-shot,false,,,,2.0
17,17,Llama 3.2 3B Instruct,zero-shot,false,,,,20.0
17,17,Llama 3.2 3B Instruct,zero-shot,false,,,,10.0
17,17,Llama 3.2 3B Instruct,zero-shot,false,,,,20.0
19,19,Llama 3.2 3B Instruct,zero-shot,false,,,0.5,45.0
19,19,Llama 3.2 3B Instruct,zero-shot,false,,,1.0,20.0
19,19,Llama 3.2 3B Instruct,zero-shot,false,,,1.0,10.0
19,19,Llama 3.2 3B Instruct,zero-shot,false,,,1.0,50.0
19,19,Llama 3.2 3B Instruct,zero-shot,false,4.0,1000.0,0.5,125.0
19,19,Llama 3.2 3B Instruct,zero-shot,false,,,0.5,20.0
19,19,Llama 3.2 3B Instruct,zero-shot,false,,5.0,0.5,10.0
19,19,Llama 3.2 3B Instruct,zero-shot,false,,,1.0,240.0
20,20,Llama 3.2 3B Instruct,zero-shot,false,,,500.0,450.0
20,20,Llama 3.2 3B Instruct,zero-shot,false,,80.0,4.0,20.0
20,20,Llama 3.2 3B Instruct,zero-shot,false,,,3.0,15.0
20,20,Llama 3.2 3B Instruct,zero-shot,false,,,1.0,5.0
20,20,Llama 3.2 3B Instruct,zero-shot,false,,,1.0,5.0
20,20,Llama 3.2 3B Instruct,zero-shot,false,,,6.0,30.0
20,20,Llama 3.2 3B Instruct,zero-shot,false,,,1.0,10.0
20,20,Llama 3.2 3B Instruct,zero-shot,false,,,5.0,25.0
20,20,Llama 3.2 3B Instruct,zero-shot,false,,,3.0,150.0
20,20,Llama 3.2 3B Instruct,zero-shot,false,,5.0,0.5,10.0
20,20,Llama 3.2 3B Instruct,zero-shot,false,,,0.5,10.0
22,22,Llama 3.2 3B Instruct,zero-shot,false,,,200.0,200.0
22,22,Llama 3.2 3B Instruct,zero-shot,false,,,100.0,100.0
22,22,Llama 3.2 3B Instruct,zero-shot,false,,,100.0,100.0
22,22,Llama 3.2 3B Instruct,zero-shot,false,,,100.0,100.0
22,22,Llama 3.2 3B Instruct,zero-shot,false,,,100.0,100.0
22,22,Llama 3.2 3B Instruct,zero-shot,false,,,100.0,100.0
22,22,Llama 3.2 3B Instruct,zero-shot,false,,,100.0,100.0
22,22,Llama 3.2 3B Instruct,zero-shot,false,,,100.0,100.0
22,22,Llama 3.2 3B Instruct,zero-shot,false,,,100.0,100.0
22,22,Llama 3.2 3B Instruct,zero-shot,false,,,100.0,100.0
22,22,Llama 3.2 3B Instruct,zero-shot,false,,,100.0,100.0
22,22,Llama 3.2 3B Instruct,zero-shot,false,,,100.0,100.0
22,22,Llama 3.2 3B Instruct,zero-shot,false,,,100.0,100.0
22,22,Llama 3.2 3B Instruct,zero-shot,false,,,100.0,100.0
22,22,Llama 3.2 3B Instruct,zero-shot,false,,,100.0,100.0
22,22,Llama 3.2 3B Instruct,zero-shot,false,,,100.0,100.0
22,22,Llama 3.2 3B Instruct,zero-shot,false,,,100.0,100.0
22,22,Llama 3.2 3B Instruct,zero-shot,false,,,100.0,100.0
22,22,Llama 3.2 3B Instruct,zero-shot,false,,,100.0,100.0
22,22,Llama 3.2 3B Instruct,zero-shot,false,,,100.0,100.0
23,23,Llama 3.2 3B Instruct,zero-shot,false,,100.0,,500.0
23,23,Llama 3.2 3B Instruct,zero-shot,false,2.0,,,50.0
23,23,Llama 3.2 3B Instruct,zero-shot,false,,50.0,,200.0
23,23,Llama 3.2 3B Instruct,zero-shot,false,,5.0,,2.0
23,23,Llama 3.2 3B Instruct,zero-shot,false,,5.0,,2.0
23,23,Llama 3.2 3B Instruct,zero-shot,false,1.0,50.0,1.0,120.0
23,23,Llama 3.2 3B Instruct,zero-shot,false,5.0,25.0,5.0,30.0
23,23,Llama 3.2 3B Instruct,zero-shot,false,1.0,10.0,1.0,20.0
23,23,Llama 3.2 3B Instruct,zero-shot,false,,,,2.0
24,24,Llama 3.2 3B Instruct,zero-shot,false,2.0,500.0,2.0,200.0
24,24,Llama 3.2 3B Instruct,zero-shot,false,1.0,30.0,2.0,400.0
24,24,Llama 3.2 3B Instruct,zero-shot,false,0.5,125.0,2.0,200.0
25,25,Llama 3.2 3B Instruct,zero-shot,false,3.0,15.0,3.0,15.0
25,25,Llama 3.2 3B Instruct,zero-shot,false,,,3.0,15.0
25,25,Llama 3.2 3B Instruct,zero-shot,false,1.0,50.0,1.0,50.0
25,25,Llama 3.2 3B Instruct,zero-shot,false,1.0,10.0,1.0,10.0
25,25,Llama 3.2 3B Instruct,zero-shot,false,1.0,,1.0,50.0
25,25,Llama 3.2 3B Instruct,zero-shot,false,6.0,300.0,6.0,30.0
25,25,Llama 3.2 3B Instruct,zero-shot,false,,100.0,1.0,200.0
25,25,Llama 3.2 3B Instruct,zero-shot,false,,100.0,1.0,200.0
25,25,Llama 3.2 3B Instruct,zero-shot,false,1.0,50.0,1.0,50.0
26,26,Llama 3.2 3B Instruct,zero-shot,false,1.0,250.0,250.0,275.0
26,26,Llama 3.2 3B Instruct,zero-shot,false,0.5,2.5,0.5,6.0
26,26,Llama 3.2 3B Instruct,zero-shot,false,0.5,2.5,0.5,6.0
26,26,Llama 3.2 3B Instruct,zero-shot,false,1.5,7.5,0.5,6.0
26,26,Llama 3.2 3B Instruct,zero-shot,false,3.0,45.0,30.0,60.0
26,26,Llama 3.2 3B Instruct,zero-shot,false,1.0,50.0,1.0,50.0
26,26,Llama 3.2 3B Instruct,zero-shot,false,1.0,5.0,0.25,4.0
26,26,Llama 3.2 3B Instruct,zero-shot,false,,,250.0,275.0
26,26,Llama 3.2 3B Instruct,zero-shot,false,1.0,15.0,20.0,28.0
26,26,Llama 3.2 3B Instruct,zero-shot,false,,150.0,,200.0
27,27,Llama 3.2 3B Instruct,zero-shot,false,,100.0,2.0,400.0
27,27,Llama 3.2 3B Instruct,zero-shot,false,,,3.0,30.0
27,27,Llama 3.2 3B Instruct,zero-shot,false,,10.0,2.0,20.0
27,27,Llama 3.2 3B Instruct,zero-shot,false,,10.0,2.0,20.0
27,27,Llama 3.2 3B Instruct,zero-shot,false,,10.0,2.0,10.0
27,27,Llama 3.2 3B Instruct,zero-shot,false,,,2.0,30.0
27,27,Llama 3.2 3B Instruct,zero-shot,false,,,3.0,30.0
27,27,Llama 3.2 3B Instruct,zero-shot,false,,,3.0,30.0
27,27,Llama 3.2 3B Instruct,zero-shot,false,,,3.0,30.0
27,27,Llama 3.2 3B Instruct,zero-shot,false,,,3.0,30.0
27,27,Llama 3.2 3B Instruct,zero-shot,false,,,3.0,30.0
27,27,Llama 3.2 3B Instruct,zero-shot,false,,,3.0,30.0
27,27,Llama 3.2 3B Instruct,zero-shot,false,,,3.0,30.0
27,27,Llama 3.2 3B Instruct,zero-shot,false,,,3.0,30.0
27,27,Llama 3.2 3B Instruct,zero-shot,false,,,3.0,30.0
27,27,Llama 3.2 3B Instruct,zero-shot,false,,,3.0,30.0
27,27,Llama 3.2 3B Instruct,zero-shot,false,,,3.0,30.0
27,27,Llama 3.2 3B Instruct,zero-shot,false,,,3.0,30.0
27,27,Llama 3.2 3B Instruct,zero-shot,false,,,3.0,30.0
28,28,Llama 3.2 3B Instruct,zero-shot,false,0.5,125.0,7.0,35.0
28,28,Llama 3.2 3B Instruct,zero-shot,false,,,2.0,500.0
28,28,Llama 3.2 3B Instruct,zero-shot,false,0.5,125.0,0.5,120.0
28,28,Llama 3.2 3B Instruct,zero-shot,false,,15.0,2.0,200.0
28,28,Llama 3.2 3B Instruct,zero-shot,false,,20.0,2.0,150.0
28,28,Llama 3.2 3B Instruct,zero-shot,false,,,1.0,100.0
28,28,Llama 3.2 3B Instruct,zero-shot,false,,20.0,1.0,50.0
28,28,Llama 3.2 3B Instruct,zero-shot,false,,120.0,1.0,100.0
28,28,Llama 3.2 3B Instruct,zero-shot,false,,30.0,1.0,50.0
28,28,Llama 3.2 3B Instruct,zero-shot,false,,20.0,1.0,100.0
28,28,Llama 3.2 3B Instruct,zero-shot,false,,,1.0,50.0
28,28,Llama 3.2 3B Instruct,zero-shot,false,,100.0,1.0,50.0
28,28,Llama 3.2 3B Instruct,zero-shot,false,,20.0,1.0,50.0
29,29,Llama 3.2 3B Instruct,zero-shot,false,5.0,25.0,5.0,25.0
29,29,Llama 3.2 3B Instruct,zero-shot,false,,10.0,2.0,20.0
29,29,Llama 3.2 3B Instruct,zero-shot,false,,10.0,2.0,25.0
29,29,Llama 3.2 3B Instruct,zero-shot,false,1.0,30.0,1.0,10.0
29,29,Llama 3.2 3B Instruct,zero-shot,false,1.0,5.0,1.0,5.0
29,29,Llama 3.2 3B Instruct,zero-shot,false,1.0,5.0,1.0,5.0
29,29,Llama 3.2 3B Instruct,zero-shot,false,2.0,100.0,2.0,150.0
29,29,Llama 3.2 3B Instruct,zero-shot,false,4.0,12.0,2.0,10.0
29,29,Llama 3.2 3B Instruct,zero-shot,false,2.0,60.0,2.0,10.0
29,29,Llama 3.2 3B Instruct,zero-shot,false,,,2.0,20.0
29,29,Llama 3.2 3B Instruct,zero-shot,false,2.0,20.0,2.0,50.0
29,29,Llama 3.2 3B Instruct,zero-shot,false,,,2.0,20.0
29,29,Llama 3.2 3B Instruct,zero-shot,false,,100.0,1.0,50.0
29,29,Llama 3.2 3B Instruct,zero-shot,false,1.0,15.0,2.0,10.0
29,29,Llama 3.2 3B Instruct,zero-shot,false,,100.0,1.0,500.0
29,29,Llama 3.2 3B Instruct,zero-shot,false,1.0,30.0,1.0,200.0
30,30,Llama 3.2 3B Instruct,zero-shot,false,,,2.0,200.0
30,30,Llama 3.2 3B Instruct,zero-shot,false,,,2.0,150.0
30,30,Llama 3.2 3B Instruct,zero-shot,false,,,2.0,100.0
30,30,Llama 3.2 3B Instruct,zero-shot,false,,,2.0,100.0
31,31,Llama 3.2 3B Instruct,zero-shot,false,4.0,20.0,4.0,28.0
31,31,Llama 3.2 3B Instruct,zero-shot,false,,,3.0,15.0
31,31,Llama 3.2 3B Instruct,zero-shot,false,1.0,15.0,1.0,22.0
31,31,Llama 3.2 3B Instruct,zero-shot,false,,,1.0,200.0
31,31,Llama 3.2 3B Instruct,zero-shot,false,,,2.0,10.0
31,31,Llama 3.2 3B Instruct,zero-shot,false,2.0,60.0,2.0,100.0
31,31,Llama 3.2 3B Instruct,zero-shot,false,,,4.0,400.0
33,33,Llama 3.2 3B Instruct,zero-shot,false,14.0,70.0,4.0,28.8
33,33,Llama 3.2 3B Instruct,zero-shot,false,,,2.0,14.4
33,33,Llama 3.2 3B Instruct,zero-shot,false,4.0,200.0,1.0,50.0
33,33,Llama 3.2 3B Instruct,zero-shot,false,,,4.0,320.0
33,33,Llama 3.2 3B Instruct,zero-shot,false,,80.0,4.0,160.0
33,33,Llama 3.2 3B Instruct,zero-shot,false,,5.0,2.0,14.0
33,33,Llama 3.2 3B Instruct,zero-shot,false,,,,2.0
35,35,Llama 3.2 3B Instruct,zero-shot,false,0.5,125.0,0.5,115.0
35,35,Llama 3.2 3B Instruct,zero-shot,false,2.0,60.0,2.0,60.0
35,35,Llama 3.2 3B Instruct,zero-shot,false,,,2.0,475.0
35,35,Llama 3.2 3B Instruct,zero-shot,false,4.0,200.0,4.0,120.0
35,35,Llama 3.2 3B Instruct,zero-shot,false,,,0.5,225.0
35,35,Llama 3.2 3B Instruct,zero-shot,false,1.0,5.0,1.0,5.0
36,36,Llama 3.2 3B Instruct,zero-shot,false,,,1.0,120.0
36,36,Llama 3.2 3B Instruct,zero-shot,false,,,10.0,50.0
36,36,Llama 3.2 3B Instruct,zero-shot,false,,,2.0,150.0
36,36,Llama 3.2 3B Instruct,zero-shot,false,,,1.0,20.0
36,36,Llama 3.2 3B Instruct,zero-shot,false,,,1.0,20.0
36,36,Llama 3.2 3B Instruct,zero-shot,false,,,1.0,20.0
36,36,Llama 3.2 3B Instruct,zero-shot,false,,,1.0,20.0
36,36,Llama 3.2 3B Instruct,zero-shot,false,,,1.0,20.0
36,36,Llama 3.2 3B Instruct,zero-shot,false,,,1.0,20.0
36,36,Llama 3.2 3B Instruct,zero-shot,false,,,1.0,20.0
36,36,Llama 3.2 3B Instruct,zero-shot,false,,,1.0,20.0
36,36,Llama 3.2 3B Instruct,zero-shot,false,,,1.0,20.0
36,36,Llama 3.2 3B Instruct,zero-shot,false,,,1.0,20.0
36,36,Llama 3.2 3B Instruct,zero-shot,false,,,1.0,20.0
36,36,Llama 3.2 3B Instruct,zero-shot,false,,,1.0,20.0
36,36,Llama 3.2 3B Instruct,zero-shot,false,,,1.0,20.0
36,36,Llama 3.2 3B Instruct,zero-shot,false,,,1.0,20.0
36,36,Llama 3.2 3B Instruct,zero-shot,false,,,1.0,20.0
36,36,Llama 3.2 3B Instruct,zero-shot,false,,,1.0,20.0
37,37,Llama 3.2 3B Instruct,zero-shot,false,2.0,100.0,2.0,50.0
37,37,Llama 3.2 3B Instruct,zero-shot,false,4.0,20.0,4.0,20.0
37,37,Llama 3.2 3B Instruct,zero-shot,false,,30.0,5.0,20.0
37,37,Llama 3.2 3B Instruct,zero-shot,false,5.0,250.0,5.0,20.0
37,37,Llama 3.2 3B Instruct,zero-shot,false,,,2.0,10.0
37,37,Llama 3.2 3B Instruct,zero-shot,false,1.0,10.0,1.0,10.0
37,37,Llama 3.2 3B Instruct,zero-shot,false,,,1.0,5.0
37,37,Llama 3.2 3B Instruct,zero-shot,false,0.5,125.0,50.0,200.0
37,37,Llama 3.2 3B Instruct,zero-shot,false,,,1.0,150.0
37,37,Llama 3.2 3B Instruct,zero-shot,false,1.0,50.0,1.0,50.0
37,37,Llama 3.2 3B Instruct,zero-shot,false,2.0,100.0,2.0,50.0
37,37,Llama 3.2 3B Instruct,zero-shot,false,4.0,20.0,4.0,20.0
37,37,Llama 3.2 3B Instruct,zero-shot,false,,30.0,5.0,20.0
37,37,Llama 3.2 3B Instruct,zero-shot,false,5.0,250.0,5.0,20.0
37,37,Llama 3.2 3B Instruct,zero-shot,false,,,2.0,10.0
37,37,Llama 3.2 3B Instruct,zero-shot,false,1.0,10.0,1.0,10.0
37,37,Llama 3.2 3B Instruct,zero-shot,false,,,1.0,5.0
37,37,Llama 3.2 3B Instruct,zero-shot,false,0.5,125.0,50.0,200.0
37,37,Llama 3.2 3B Instruct,zero-shot,false,,,1.0,150.0
38,38,Llama 3.2 3B Instruct,zero-shot,false,,100.0,1.0,500.0
38,38,Llama 3.2 3B Instruct,zero-shot,false,,,6.0,10.0
38,38,Llama 3.2 3B Instruct,zero-shot,false,4.0,200.0,8.0,50.0
38,38,Llama 3.2 3B Instruct,zero-shot,false,,,1.0,50.0
38,38,Llama 3.2 3B Instruct,zero-shot,false,,,4.0,20.0
38,38,Llama 3.2 3B Instruct,zero-shot,false,4.0,60.0,4.0,200.0
38,38,Llama 3.2 3B Instruct,zero-shot,false,1.0,15.0,1.0,100.0
38,38,Llama 3.2 3B Instruct,zero-shot,false,1.0,15.0,1.0,50.0
38,38,Llama 3.2 3B Instruct,zero-shot,false,1.0,15.0,1.0,50.0
38,38,Llama 3.2 3B Instruct,zero-shot,false,2.0,20.0,2.0,20.0
38,38,Llama 3.2 3B Instruct,zero-shot,false,,,,10.0
39,39,Llama 3.2 3B Instruct,zero-shot,false,1.0,1000.0,1000.0,1000.0
39,39,Llama 3.2 3B Instruct,zero-shot,false,1.0,7.0,10.0,10.0
39,39,Llama 3.2 3B Instruct,zero-shot,false,2.0,30.0,20.0,20.0
39,39,Llama 3.2 3B Instruct,zero-shot,false,,,1.0,150.0
39,39,Llama 3.2 3B Instruct,zero-shot,false,,,2.0,200.0
39,39,Llama 3.2 3B Instruct,zero-shot,false,,,2.0,200.0
39,39,Llama 3.2 3B Instruct,zero-shot,false,,,200.0,200.0
39,39,Llama 3.2 3B Instruct,zero-shot,false,1.0,250.0,100.0,100.0
39,39,Llama 3.2 3B Instruct,zero-shot,false,3.0,150.0,4.0,20.0
39,39,Llama 3.2 3B Instruct,zero-shot,false,2.0,10.0,4.0,20.0
39,39,Llama 3.2 3B Instruct,zero-shot,false,0.5,125.0,1000.0,1000.0
39,39,Llama 3.2 3B Instruct,zero-shot,false,1.0,250.0,1000.0,1000.0
40,40,Llama 3.2 3B Instruct,zero-shot,false,6.0,60.0,6.0,300.0
40,40,Llama 3.2 3B Instruct,zero-shot,false,2.0,100.0,2.0,120.0
40,40,Llama 3.2 3B Instruct,zero-shot,false,,,6.0,180.0
40,40,Llama 3.2 3B Instruct,zero-shot,false,,,1.0,50.0
40,40,Llama 3.2 3B Instruct,zero-shot,false,5.0,75.0,5.0,150.0
40,40,Llama 3.2 3B Instruct,zero-shot,false,,30.0,2.0,20.0
40,40,Llama 3.2 3B Instruct,zero-shot,false,4.0,60.0,4.0,100.0
40,40,Llama 3.2 3B Instruct,zero-shot,false,,100.0,1.0,500.0
40,40,Llama 3.2 3B Instruct,zero-shot,false,2.0,500.0,2.0,400.0
40,40,Llama 3.2 3B Instruct,zero-shot,false,,,1.0,200.0
40,40,Llama 3.2 3B Instruct,zero-shot,false,,,1.0,150.0
40,40,Llama 3.2 3B Instruct,zero-shot,false,,,1.0,50.0
40,40,Llama 3.2 3B Instruct,zero-shot,false,,,1.0,50.0
40,40,Llama 3.2 3B Instruct,zero-shot,false,,,1.0,200.0
40,40,Llama 3.2 3B Instruct,zero-shot,false,,,1.0,50.0
40,40,Llama 3.2 3B Instruct,zero-shot,false,,,1.0,50.0
43,43,Llama 3.2 3B Instruct,zero-shot,false,2.0,800.0,1.0,400.0
43,43,Llama 3.2 3B Instruct,zero-shot,false,1.0,400.0,1.0,400.0
43,43,Llama 3.2 3B Instruct,zero-shot,false,,,1.0,2.0
43,43,Llama 3.2 3B Instruct,zero-shot,false,,5.0,1.0,2.0
43,43,Llama 3.2 3B Instruct,zero-shot,false,,100.0,200.0,100.0
43,43,Llama 3.2 3B Instruct,zero-shot,false,,100.0,200.0,100.0
43,43,Llama 3.2 3B Instruct,zero-shot,false,,,1.0,2.0
43,43,Llama 3.2 3B Instruct,zero-shot,false,,250.0,200.0,100.0
43,43,Llama 3.2 3B Instruct,zero-shot,false,2.0,800.0,200.0,100.0
43,43,Llama 3.2 3B Instruct,zero-shot,false,1.0,400.0,200.0,100.0
43,43,Llama 3.2 3B Instruct,zero-shot,false,,,200.0,100.0
45,45,Llama 3.2 3B Instruct,zero-shot,false,,120.0,2.0,120.0
45,45,Llama 3.2 3B Instruct,zero-shot,false,,120.0,2.0,120.0
45,45,Llama 3.2 3B Instruct,zero-shot,false,1.0,30.0,2.0,120.0
45,45,Llama 3.2 3B Instruct,zero-shot,false,,,1.0,50.0
45,45,Llama 3.2 3B Instruct,zero-shot,false,,,1.0,20.0
45,45,Llama 3.2 3B Instruct,zero-shot,false,,30.0,1.0,140.0
45,45,Llama 3.2 3B Instruct,zero-shot,false,,,1.0,20.0
47,47,Llama 3.2 3B Instruct,zero-shot,false,,,2.0,60.0
47,47,Llama 3.2 3B Instruct,zero-shot,false,,,,2.0
47,47,Llama 3.2 3B Instruct,zero-shot,false,,,1.0,240.0
47,47,Llama 3.2 3B Instruct,zero-shot,false,,,1.0,240.0
47,47,Llama 3.2 3B Instruct,zero-shot,false,,50.0,2.0,100.0
47,47,Llama 3.2 3B Instruct,zero-shot,false,,100.0,,50.0
48,48,Llama 3.2 3B Instruct,zero-shot,false,,100.0,200.0,150.0
48,48,Llama 3.2 3B Instruct,zero-shot,false,,100.0,200.0,150.0
48,48,Llama 3.2 3B Instruct,zero-shot,false,,100.0,100.0,50.0
48,48,Llama 3.2 3B Instruct,zero-shot,false,,100.0,100.0,50.0
48,48,Llama 3.2 3B Instruct,zero-shot,false,,100.0,150.0,100.0
